Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.9900398406374507,0.9762372454157325,0.9958422035494019
2,0.9687486612689036,0.9486786148393482,0.9810480962559803
3,0.9531236828613406,0.9296391683742352,0.9689004229546488
4,0.9390727194776359,0.9128999215756723,0.9575632212420311
5,0.9140973811936558,0.8836966377264005,0.9368355047953746
6,0.8980135563046175,0.8651290075204835,0.9232361540217572
7,0.8893788105709195,0.855160971526464,0.9159108445701911
8,0.886394317917997,0.8517133510624745,0.9133773804610436
9,0.8740403901421362,0.8374690059144725,0.9028613538025405
10,0.8606451351208008,0.8219919622795067,0.8914613070444763
11,0.8570591137244645,0.8178290182903477,0.8884197684875574
12,0.8457820201228265,0.8047211026151436,0.8788621799772093
13,0.8418112125166157,0.8000922297418964,0.8755047044113945
14,0.8330423457195677,0.7897268201777325,0.8681839832377131
15,0.8330423457195677,0.7897268201777325,0.8681839832377131
16,0.8330423457195677,0.7897268201777325,0.8681839832377131
17,0.8270920432501423,0.7822185847767605,0.8635306871037027
18,0.8075544359292731,0.7575844312672271,0.8482618157344686
19,0.8075544359292731,0.7575844312672271,0.8482618157344686
20,0.8075544359292731,0.7575844312672271,0.8482618157344686
21,0.7963384020969221,0.7413228629906488,0.8409149656115229
22,0.7963384020969221,0.7413228629906488,0.8409149656115229
23,0.7753821283575294,0.7045680694999689,0.8312526512893884
24,0.7753821283575294,0.7045680694999689,0.8312526512893884
