Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9467430207587691,0.9412164650837811,0.951763393050452
2,0.8959575674947698,0.8884645020055314,0.9029751184053765
3,0.8492816514193544,0.8404562903999794,0.8576610794638446
4,0.8107905748232223,0.8010531164418856,0.820106500782504
5,0.7751609782875823,0.7646808744822289,0.7852422253779613
6,0.7466759257426373,0.7356488734254562,0.7573220034345082
7,0.7200089283946858,0.7085010435205317,0.7311527267610555
8,0.6964121695558735,0.6844906420532866,0.7079842951918306
9,0.6710483354370405,0.6586896894179052,0.6830732954544136
10,0.6536490443290022,0.640984065780782,0.6659907547943327
11,0.6269694914992473,0.6138327907496381,0.639799228094641
12,0.6034682654068584,0.5899200103558939,0.6167248904361038
13,0.5844175430894978,0.5705221862219325,0.5980339485927636
14,0.5656882464885847,0.551434784528548,0.5796755571483714
15,0.5479124605545628,0.5332910646034322,0.5622800300789073
16,0.5307536361670889,0.5157322647324009,0.5455330149912384
17,0.5134229051902044,0.49795756391089363,0.5286588178149482
18,0.4949795581105563,0.47896459587085005,0.510778867606793
19,0.4868556263244508,0.4705458649336693,0.5029554892473677
20,0.47375327944036494,0.4568477905809728,0.490457046879339
21,0.4541834365719164,0.43625032266233316,0.4719295662060055
22,0.45113522558821206,0.43299285036860075,0.46909263325397016
23,0.4469963703075861,0.4284228191340198,0.4653852077687845
24,0.44277942341789184,0.42347724825062716,0.4618922332796734
