Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8948322756119673,0.8751942067153364,0.9115377350027889
2,0.8092396231621267,0.7843207591046092,0.8315948038540216
3,0.7354886962072759,0.7075331619743989,0.7612376144609557
4,0.6741979715233366,0.6443077578135329,0.7021822797522566
5,0.6320605983031281,0.6010754490717806,0.6613522915302658
6,0.5958047322436749,0.5639816422538543,0.6261208704381046
7,0.5776715447406064,0.5454258500621527,0.6085027967884143
8,0.565113467681028,0.5325379772255593,0.5963360838705215
9,0.5458313808572659,0.5127202745879934,0.5776842272836927
10,0.5281721303001189,0.4945268864332108,0.5606463774218071
11,0.5105663926234483,0.4763201607566873,0.5437292655910361
12,0.49521101239417153,0.4603852379741784,0.5290321961630471
13,0.47904085688742304,0.4436065412980993,0.5135606778122862
14,0.4638676170765092,0.42783340676212916,0.499078041777262
15,0.4472159590276089,0.4104496825809126,0.48326506329122854
16,0.4393239126918276,0.402152645343153,0.47583087831681675
17,0.43334671660078233,0.3957812345679156,0.4702873631086484
18,0.41220785237635416,0.37290353228262724,0.45103996927023315
19,0.40362018878518013,0.3634039268954264,0.4434346347973205
20,0.40362018878518013,0.3634039268954264,0.4434346347973205
21,0.40362018878518013,0.3634039268954264,0.4434346347973205
22,0.3955477850094765,0.35316770270552494,0.43758038545619427
23,0.3842464197234916,0.3377163640567625,0.4305285784947419
24,0.3842464197234916,0.3377163640567625,0.4305285784947419
