Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9912819995968565,0.9898882180544223,0.9924843958219416
2,0.9853830790318046,0.9835978696917185,0.9869752745280848
3,0.9793962781465987,0.9772773674457191,0.9813194911039237
4,0.9745990441218673,0.9722375066292871,0.9767621122455141
5,0.9709213118798979,0.968383110516302,0.973258570353605
6,0.9663918555765586,0.9636422358412409,0.9689368964972241
7,0.963449294339497,0.9605640113384262,0.9661272190238899
8,0.9608351720455404,0.9578277359812852,0.9636322309209071
9,0.9573769953885743,0.954206815989303,0.9603322964735517
10,0.9545061767766311,0.9511986914381724,0.9575945259023501
11,0.9521245422906354,0.9486990830991303,0.9553266968477855
12,0.9478429789446702,0.9441998357965439,0.9512544476227588
13,0.9448382296672982,0.9410372107573167,0.9484009850887805
14,0.9414968236918151,0.9375154217481123,0.9452320071361293
15,0.9396703295951544,0.9355846222669819,0.9435047793934193
16,0.9361438531850107,0.9318414749894567,0.9401834446830312
17,0.9329842548377142,0.928476485714624,0.9372176154324157
18,0.9295223466564988,0.9247670030898487,0.9339879451329554
19,0.9271147774443518,0.9221676416013536,0.9317592171703568
20,0.9254334812158262,0.9203298710708918,0.9302226780605428
21,0.9239696509703097,0.918703200879931,0.9289082747590149
22,0.9228501400846423,0.9174276260617793,0.9279306920861442
23,0.9198779979265597,0.9139321572362653,0.9254300185686155
24,0.9190984403011988,0.9129459785759653,0.9248341756149643
