Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9833424358274173,0.9786419879933853,0.9870152809719578
2,0.9774169864293187,0.972035547592635,0.9817725505131889
3,0.970364067705836,0.9642569305322574,0.9754410418238038
4,0.9639072725785156,0.9571885737445486,0.9695883561354914
5,0.9561753960605065,0.948771591884169,0.9625303718795295
6,0.951759665989889,0.9439761190895257,0.958485705672898
7,0.9478178902647805,0.9396938514271995,0.9548739181240226
8,0.9443726717622023,0.9359426265996739,0.9517220737253187
9,0.9403056059923399,0.9315069236853238,0.948005728315048
10,0.9389978096001396,0.9300749441152788,0.9468148107676074
11,0.9352605048853129,0.9259658660454347,0.9434241210131626
12,0.9337180191708236,0.9242578077408661,0.9420339439458509
13,0.9320446893873628,0.9223915322596583,0.9405361234593419
14,0.927851686286006,0.917696636269646,0.9367972078541328
15,0.9252119944331295,0.9147214698652876,0.9344586083312599
16,0.9244863379669077,0.9138955433055069,0.9338219933792943
17,0.9244863379669077,0.9138955433055069,0.9338219933792943
18,0.9244863379669077,0.9138955433055069,0.9338219933792943
19,0.9213840348193677,0.9101781676254103,0.9312451101991908
20,0.9177565386192915,0.9057547774716028,0.9282909083641435
21,0.9162834141592284,0.9039017260745262,0.9271346153585976
22,0.9162834141592284,0.9039017260745262,0.9271346153585976
23,0.9162834141592284,0.9039017260745262,0.9271346153585976
24,0.9162834141592284,0.9039017260745262,0.9271346153585976
