Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9594326725905672,0.957109440392925,0.9616326000869988
2,0.9315380295079433,0.9285552761380004,0.9344006993432191
3,0.9135512047239797,0.9102134134265278,0.9167706627567704
4,0.8991939952633007,0.8955927978083859,0.9026778358074675
5,0.8875570260435258,0.8837497157232186,0.8912474516796408
6,0.877817570438383,0.873839571257456,0.8816787955039261
7,0.8680548317471163,0.8639059736704278,0.8720867729700206
8,0.8605406937410457,0.8562572999706698,0.8647067579468432
9,0.8533167375553733,0.8488999246788335,0.857615528265773
10,0.8448758055297693,0.8402983486199278,0.8493341217964127
11,0.838461607204831,0.8337572937909843,0.8430456615613667
12,0.8317264556524016,0.8268816775082085,0.8364494323435326
13,0.8256226849529711,0.820643200726886,0.8304786155187377
14,0.8176069307301256,0.8124425976663453,0.8226450583029188
15,0.8102358795920612,0.8048912261492921,0.815451443585244
16,0.8040040008665481,0.7984946718691488,0.8093812715149541
17,0.7952901578829912,0.7895343777230767,0.8009090618203509
18,0.786518999560671,0.7804909357941373,0.7924043350581728
19,0.780170771550092,0.773923390493648,0.7862702420397981
20,0.7750594681033681,0.7686082656624882,0.781357372591301
21,0.7714920916755676,0.7648689422056657,0.7779568145905761
22,0.767207346951667,0.7603233652115432,0.7739241686642762
23,0.7630167185859649,0.7557921142608727,0.7700614149974601
24,0.7625032483850324,0.7552113893006615,0.7696123649535875
