Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9818652849740931,0.9623384881734819,0.9913132539951844
2,0.9549648662076797,0.9285401663684136,0.9717660148351693
3,0.9246922047428828,0.8927604849856753,0.9473952762089308
4,0.9133809851130004,0.8796946405770726,0.9379668716929992
5,0.9133809851130004,0.8796946405770726,0.9379668716929992
6,0.887831866648301,0.8500353821313873,0.9165697716330571
7,0.8675771472570851,0.8268405353483884,0.8993147324959947
8,0.836468803331533,0.7918560322774807,0.872293975710808
9,0.8217292649468362,0.7753654902928261,0.8593964705778873
10,0.8101556133278662,0.76242893645953,0.8492487889672332
11,0.7937888332606367,0.7441177746866714,0.8348966904088525
12,0.7893041505868477,0.7390494367060783,0.8309970981582165
13,0.7793757964914154,0.7276651278010194,0.8224769871673476
14,0.7686994157175605,0.7153529041950707,0.8133659238015765
15,0.7627405055181995,0.7083683247386896,0.8083614955083696
16,0.7493590931406868,0.6924294134662751,0.7973112164540956
17,0.7493590931406868,0.6924294134662751,0.7973112164540956
18,0.741032880994679,0.6820792982273656,0.7907505230502703
19,0.7316527179441135,0.6701925851494147,0.7835303771253762
20,0.7208931191508172,0.6562413104452242,0.7754885279597978
21,0.7208931191508172,0.6562413104452242,0.7754885279597978
22,0.7208931191508172,0.6562413104452242,0.7754885279597978
23,0.7208931191508172,0.6562413104452242,0.7754885279597978
24,0.7208931191508172,0.6562413104452242,0.7754885279597978
