Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9616122840690977,0.9411288778502456,0.975062908468352
2,0.9301484874533392,0.9044734040482026,0.9491167596641987
3,0.8975116984198881,0.8676559262935017,0.9209398511006869
4,0.8676657036980865,0.8345871600524205,0.8945495869774583
5,0.8362772803084918,0.8002099399154825,0.8663821307359719
6,0.8054795334416074,0.766769522034316,0.8384502958865098
7,0.7799087546021914,0.7390868439145437,0.815155314224215
8,0.7531077664715314,0.7102350516419882,0.790590643137479
9,0.724142083145703,0.6791052343384101,0.7639822170525303
10,0.6930630237832269,0.6458193402223422,0.7353319206585589
11,0.6766397293807808,0.6282744173885542,0.7201556162836847
12,0.6510371450258325,0.6007599627017636,0.6966347494055384
13,0.6276465889171199,0.5756822348801233,0.6751084691810785
14,0.6276465889171199,0.5756822348801233,0.6751084691810785
15,0.6276465889171199,0.5756822348801233,0.6751084691810785
16,0.6166352452519068,0.5632629224879623,0.66549457874537
17,0.5984989145092039,0.5426873185401251,0.6497827843610848
18,0.5853450922122984,0.5277177438892586,0.6384460698505376
19,0.5703362436940342,0.5103778035858383,0.6257543399572535
20,0.5533112811957049,0.4904791945916335,0.6115904454314472
21,0.5533112811957049,0.4904791945916335,0.6115904454314472
22,0.5394784991658123,0.4723131883775728,0.6018424733833685
23,0.5160229122455596,0.43681218010107387,0.5894964872743311
