Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8444444444444444,0.8027048084247101,0.878027773970404
2,0.695938697318008,0.6448277949632556,0.7412065024781864
3,0.5784425536149679,0.5242974989771052,0.628703794768838
4,0.5101993309974715,0.4553150293833555,0.562364171049886
5,0.46193723211933235,0.40695645632315075,0.515063402040397
6,0.42062577233630266,0.36568238028938005,0.47449194913096887
7,0.38857809444401303,0.3338022602588758,0.4429237199176642
8,0.35657754548980014,0.30178986887479664,0.4116375698386305
9,0.3415108886381185,0.2866726440512747,0.3969839583611811
10,0.3104644442164714,0.25580124921947506,0.3665836682396587
11,0.2874670779782142,0.23291710570782093,0.3441732146437601
12,0.2624699407627173,0.20813012855646812,0.3198415989832458
13,0.25497079959806834,0.2005136798701823,0.31277681640409755
14,0.23903512462318907,0.1843459161746521,0.297820767100644
15,0.2213288190955454,0.1663554728601089,0.2813840632698742
16,0.2121067849665643,0.15709190069185586,0.2727731255350313
17,0.20150144571823608,0.1462217241629666,0.263218521404913
18,0.20150144571823608,0.1462217241629666,0.263218521404913
19,0.18890760536084633,0.1329901386765363,0.25244167162775955
20,0.18890760536084633,0.1329901386765363,0.25244167162775955
21,0.18890760536084633,0.1329901386765363,0.25244167162775955
