Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9308510638297876,0.8838927783326063,0.9592508487846322
2,0.9024714582252206,0.8495959622403894,0.9374362635272624
3,0.9024714582252206,0.8495959622403894,0.9374362635272624
4,0.8839275241520994,0.8273327002292364,0.922830001402566
5,0.8710234727046235,0.8119703772014457,0.912521115451856
6,0.8710234727046235,0.8119703772014457,0.912521115451856
7,0.8488788081443364,0.7851728132984683,0.8949474129053516
8,0.8488788081443364,0.7851728132984683,0.8949474129053516
9,0.8406372663176919,0.7750812622366331,0.8884508136771939
10,0.8406372663176919,0.7750812622366331,0.8884508136771939
11,0.8406372663176919,0.7750812622366331,0.8884508136771939
12,0.8406372663176919,0.7750812622366331,0.8884508136771939
13,0.8406372663176919,0.7750812622366331,0.8884508136771939
14,0.8406372663176919,0.7750812622366331,0.8884508136771939
15,0.8406372663176919,0.7750812622366331,0.8884508136771939
16,0.8406372663176919,0.7750812622366331,0.8884508136771939
17,0.8406372663176919,0.7750812622366331,0.8884508136771939
18,0.8406372663176919,0.7750812622366331,0.8884508136771939
19,0.8406372663176919,0.7750812622366331,0.8884508136771939
20,0.8406372663176919,0.7750812622366331,0.8884508136771939
21,0.8406372663176919,0.7750812622366331,0.8884508136771939
22,0.8406372663176919,0.7750812622366331,0.8884508136771939
23,0.8406372663176919,0.7750812622366331,0.8884508136771939
24,0.8406372663176919,0.7750812622366331,0.8884508136771939
