Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9082711504006612,0.9057280742914867,0.9107490541145639
2,0.8358370087766577,0.8325528652332975,0.8390631397495386
3,0.7871666083476101,0.7835110259589181,0.7907690147324719
4,0.7503486915852852,0.7464491479511561,0.7541985823499906
5,0.7200380360190684,0.7159559798828834,0.7240733183830954
6,0.6942427879546658,0.69001271402057,0.6984284798609979
7,0.6704595497299957,0.6660967189062166,0.6747801713319951
8,0.6489196957196529,0.6444377520736954,0.6533613774328377
9,0.6285332141724425,0.6239368145906815,0.6330911667261093
10,0.6097181341028998,0.6050121143964802,0.6143873519065849
11,0.5931839925470674,0.5883767378286342,0.5979558708973386
12,0.576452392453721,0.5715357070529767,0.5813351229917869
13,0.5620166152233438,0.5569978042297522,0.567002680977141
14,0.5477994553754081,0.5426738922146302,0.5528934874137298
15,0.5371841219672703,0.5319690557051345,0.5423685256036189
16,0.5263432454627115,0.5210240017430335,0.531632655939645
17,0.5153556086887419,0.5099175757932161,0.5207646177331053
18,0.5054916969335556,0.4999268143365547,0.5110281900282783
19,0.4959541177461305,0.49024408558386173,0.5016362832642116
20,0.48746769034035536,0.48160001069334224,0.49330783340816137
21,0.47816695999716047,0.4720863678852298,0.48422019713430303
22,0.4723923369161937,0.4661327708209349,0.478624370171616
23,0.4685595390507482,0.4621285189799779,0.47496251788490207
24,0.4673313358029089,0.4608050019441766,0.4738291285994511
