Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9963483058019618,0.9958490287119208,0.9967876269463518
2,0.9934963814093526,0.9928359123133843,0.9940961419443975
3,0.9911378625369672,0.9903664541746631,0.9918477547150526
4,0.9886709669642351,0.9877941438645681,0.9894851381054076
5,0.9865134027537316,0.9855504138547838,0.9874126240797932
6,0.9843772361105085,0.9833321875323707,0.9853572504785151
7,0.98199976519005,0.9808663250783433,0.9830666435987625
8,0.9800972650817754,0.9788940726256969,0.9812325260770622
9,0.9781448800915719,0.9768700426666448,0.9793501981171968
10,0.9760233099116592,0.9746697606923636,0.977305375633209
11,0.9739077112407374,0.9724747680129572,0.9752670086239746
12,0.9715016967697272,0.9699768445304953,0.9729501872153732
13,0.9691146365136092,0.9674968141531753,0.9706531596155684
14,0.9664744643153517,0.9647526106780981,0.968113601204354
15,0.9642925516249033,0.962481539493338,0.9660176975379875
16,0.9625780679034536,0.960692466814346,0.964374901978889
17,0.9605955572740905,0.9586187911395174,0.9624797524582414
18,0.95823640210969,0.9561422764099082,0.9602326290821169
19,0.9560290339813087,0.9538165167142918,0.9581378967358202
20,0.9540738215825461,0.9517444016390778,0.956293393583793
21,0.9521576761148195,0.9496979198719437,0.9545000522459134
22,0.9503669160203451,0.9477603985301496,0.9528466385084404
23,0.9495193830988051,0.94682294349548,0.9520825796559946
24,0.9486299035830206,0.9457891681830262,0.9513256383364245
