Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9351585014409224,0.9141203844141499,0.9511805895576232
2,0.8671744423700963,0.8392120040498282,0.8905936093468855
3,0.8162577778639621,0.7845493610007005,0.843771235493967
4,0.7695190911969049,0.7350138796688287,0.8001553627368894
5,0.7294762425599618,0.69295593886706,0.7624182872296819
6,0.6939376563839635,0.6557546163704071,0.7287909055648153
7,0.6479417886697524,0.6078276249449096,0.6850600412905589
8,0.6182001983701573,0.5769671368088088,0.6566661647435013
9,0.5862636567569388,0.5438691660074907,0.6261436157221959
10,0.5612096543314283,0.5178578798409544,0.6022463971411343
11,0.5400319315264687,0.495899012517925,0.5820294378145411
12,0.528602684298395,0.48400570451159747,0.5711613282210588
13,0.48955816784453643,0.44352131288241736,0.533929873741966
14,0.4362729250859474,0.3885722358188375,0.48293096750323133
15,0.42508643982733335,0.37701459467319304,0.4722634345704643
16,0.4171408988959814,0.36876769798224385,0.46472793604329204
17,0.395858199972717,0.3466275781098046,0.4446175781666947
18,0.381886734091327,0.3320375796553649,0.43149408373228304
19,0.3767949109701096,0.3266715814884367,0.42676523985308074
20,0.35660946931099646,0.3044652389192292,0.4089982540364813
21,0.3485047086448375,0.2953130791226716,0.4021317663386378
22,0.3485047086448375,0.2953130791226716,0.4021317663386378
23,0.3339836791179692,0.2762670854350381,0.3926169786509796
24,0.3339836791179692,0.2762670854350381,0.3926169786509796
