Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8178386031146763,0.8081294494323634,0.8271104554318198
2,0.738730459427908,0.7276321593562229,0.7494577334345841
3,0.6874297330787476,0.6756470149339927,0.6988849364686933
4,0.6582859182158431,0.6461630137060297,0.670105902533074
5,0.6384821185356441,0.6261378016324848,0.6505399755617841
6,0.6204004978093363,0.607850540848479,0.6326785749090941
7,0.608547059434269,0.5958568985640545,0.620974620763933
8,0.5977524331028411,0.584923386570405,0.6103269158180656
9,0.5844426373757005,0.57143197350268,0.5972083927017979
10,0.5732717094675635,0.5600956755228959,0.5862106642383652
11,0.5662707397887677,0.5529822878762368,0.5793268406107742
12,0.5602128256086536,0.5468149327683676,0.5733821477287552
13,0.549530135720435,0.5359122318007914,0.5629255572696268
14,0.5448332969535934,0.531109997179704,0.5583366680032444
15,0.5396829484341128,0.5258249166717053,0.5533233798568835
16,0.5348172869906795,0.5208113544987648,0.5486073359897887
17,0.5254109527973763,0.5110807638640472,0.5395279402548513
18,0.5187731079126671,0.5041730218850546,0.5331611641881656
19,0.513924761109745,0.49907599337690806,0.5285611864403381
20,0.5067670346318934,0.4914701530197755,0.5218494320544289
21,0.4998956172131563,0.4840747285062446,0.5154981781268222
22,0.4932154976067443,0.4767176152970891,0.5094876708014582
23,0.49035627733076276,0.4734788637156173,0.5070027184138088
24,0.4861290680434287,0.4683953341572967,0.5036163891905538
