Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9412801974960338,0.9348427186056963,0.9470997765287313
2,0.911180041160787,0.9033985003513986,0.9183633984108273
3,0.8902065875279291,0.8816238041298516,0.8982035351196597
4,0.8768862771712741,0.867820864897352,0.8853716977298969
5,0.8656745519652472,0.8562092535919223,0.8745632718718372
6,0.8543229318240823,0.8444548617926011,0.863616547498262
7,0.8451027468171778,0.8348997393675943,0.8547312875572934
8,0.8371542683125248,0.8266568633923925,0.8470761443191596
9,0.8303326070648659,0.819572996043592,0.8405145436380201
10,0.8238294680988895,0.8128030661664749,0.8342742995811749
11,0.8194070706474382,0.8081893672707804,0.8300395329370632
12,0.8105669943665949,0.7989463393834738,0.8215930752192717
13,0.8064975115103501,0.7946783696678081,0.8177165576749585
14,0.8037096188779685,0.7917442144480695,0.8150701680333429
15,0.7993628929781416,0.7871487228898035,0.8109628366249401
16,0.7969624038100387,0.7845961928936086,0.8087078316699037
17,0.7947834225282611,0.7822584958182051,0.8066796282532561
18,0.79230166320733,0.7795691130916345,0.8043938703303513
19,0.7908330781040728,0.7779530582534434,0.8030634833693078
20,0.7873834245463668,0.7740969523853929,0.7999925857283671
21,0.7842794163024256,0.7705599176768422,0.7972898922573428
22,0.7816387448670635,0.7674534063588511,0.795078009583153
23,0.7816387448670635,0.7674534063588511,0.795078009583153
24,0.7816387448670635,0.7674534063588511,0.795078009583153
