Timeline,"""ANALYTIC abstract from facility WITH CoC accreditation","""ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95","""ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.9891745602165087,0.9784703965833916,0.9945715129976013
2,0.9678561429704627,0.9520141183381259,0.9785269649855803
3,0.9472947074597093,0.9279716261113541,0.9615413603623919
4,0.9319910772907318,0.9104750966865408,0.9484824592083373
5,0.917677221154868,0.8942997163491693,0.9360696238175827
6,0.8974714841753111,0.8716525232056278,0.91834096058596
7,0.8813813579649968,0.8537356339244154,0.9040970128360818
8,0.8678216447655354,0.8386305504616443,0.8920745606058283
9,0.851370049604103,0.8203503321965697,0.8774375351020768
10,0.83597059134253,0.8032647011381108,0.8637057509683831
11,0.8148365033591516,0.7798857524101097,0.8447972696251672
12,0.8071974111401594,0.7714128786921446,0.8379767311695959
13,0.7961019140798136,0.7590231159202739,0.8281314027777986
14,0.7872234540714886,0.7490791836904646,0.8202761979380292
15,0.7806632586208933,0.7416479221107889,0.8145359334249064
16,0.7768364779413791,0.7372082650926328,0.8112671095620511
17,0.7469581518667112,0.7024499401252177,0.7858435353116153
18,0.7372573966476628,0.6911101193197439,0.7776420376557229
19,0.7372573966476628,0.6911101193197439,0.7776420376557229
20,0.7372573966476628,0.6911101193197439,0.7776420376557229
21,0.7294967924724242,0.6810387687925782,0.7718509148384208
22,0.7192221897615452,0.6668107486614243,0.7648709751190709
23,0.7192221897615452,0.6668107486614243,0.7648709751190709
24,0.7192221897615452,0.6668107486614243,0.7648709751190709
