Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9099099099099103,0.8638468686617005,0.9409181042845188
2,0.8583170799665651,0.8046153911576243,0.8981892099565348
3,0.8237870824966461,0.7658737520664785,0.8686028601705233
4,0.8033203226830644,0.7431549952722173,0.8508081148627307
5,0.8033203226830644,0.7431549952722173,0.8508081148627307
6,0.7786027742928164,0.7150256315384712,0.82968979235944
7,0.7530748144799373,0.68635206760751,0.8076022600170224
8,0.7256902757715755,0.6557253822912757,0.7837965495048022
9,0.7182852729575796,0.6474037996645334,0.7773853601175117
10,0.7105617753988959,0.6386920603682229,0.7707215689218069
11,0.7020007901531259,0.6288616920685534,0.763459711497034
12,0.6837670033959015,0.6078674355582613,0.7480480608644955
13,0.6737116062871378,0.5961581917007466,0.7396544229904085
14,0.6737116062871378,0.5961581917007466,0.7396544229904085
15,0.6487593245727994,0.5659452951048977,0.719721646276308
16,0.6349559346882719,0.5491693170359502,0.708785262908771
17,0.6194692045739237,0.5300676935692511,0.6967672483636507
18,0.6194692045739237,0.5300676935692511,0.6967672483636507
19,0.6194692045739237,0.5300676935692511,0.6967672483636507
20,0.6194692045739237,0.5300676935692511,0.6967672483636507
21,0.6194692045739237,0.5300676935692511,0.6967672483636507
22,0.6194692045739237,0.5300676935692511,0.6967672483636507
23,0.6194692045739237,0.5300676935692511,0.6967672483636507
24,0.6194692045739237,0.5300676935692511,0.6967672483636507
