Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8188679245283021,0.7669787752416944,0.8602584477781475
2,0.7679335560169721,0.7119783192130559,0.8144473641074612
3,0.7430276028488544,0.6852678918126277,0.7918165489479252
4,0.7207812674342174,0.6613815447805208,0.7715866079169088
5,0.6937519699054348,0.6326164317907537,0.7467864664295039
6,0.6565035419910491,0.5932937397764548,0.7123251586388079
7,0.6513342227627731,0.5877883553064903,0.7075776236158976
8,0.6458608259328339,0.5819153715832472,0.7025852222761814
9,0.6400942114155765,0.5756872693004271,0.6973577955774374
10,0.6275433445250757,0.561987811816417,0.686098532098282
11,0.6147363374939513,0.5480683647384028,0.6745689039558652
12,0.6075041452881398,0.5400629179391497,0.6681789093039825
13,0.6075041452881398,0.5400629179391497,0.6681789093039825
14,0.5825382215091754,0.5119459949367583,0.6465484922263708
15,0.5735760950244189,0.5018337683312329,0.6388160658130893
16,0.5735760950244189,0.5018337683312329,0.6388160658130893
17,0.5735760950244189,0.5018337683312329,0.6388160658130893
18,0.5735760950244189,0.5018337683312329,0.6388160658130893
19,0.5735760950244189,0.5018337683312329,0.6388160658130893
20,0.5735760950244189,0.5018337683312329,0.6388160658130893
21,0.5735760950244189,0.5018337683312329,0.6388160658130893
22,0.5475044543414906,0.46145578251976577,0.6255004077286194
23,0.5475044543414906,0.46145578251976577,0.6255004077286194
24,0.5475044543414906,0.46145578251976577,0.6255004077286194
