Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8085106382978724,0.6642957848148197,0.895419608737048
2,0.8085106382978724,0.6642957848148197,0.895419608737048
3,0.7635933806146574,0.6136494372764143,0.861591323206285
4,0.7397310874704495,0.5868594555246184,0.8432242330099714
5,0.6204196217494092,0.460984984974085,0.7450828593700802
6,0.596557328605201,0.4371362440329668,0.7243510430769745
7,0.5446827782917053,0.38519759658461683,0.6791469534474996
8,0.5446827782917053,0.38519759658461683,0.6791469534474996
9,0.51744863937712,0.35834103816422996,0.6551013067157899
10,0.49021450046253473,0.3321303805079592,0.6305858031065927
11,0.49021450046253473,0.3321303805079592,0.6305858031065927
12,0.46137835337650324,0.3045001381483606,0.6045865994200266
13,0.43061979648473625,0.275214242362535,0.576841000719914
14,0.43061979648473625,0.275214242362535,0.576841000719914
15,0.43061979648473625,0.275214242362535,0.576841000719914
16,0.43061979648473625,0.275214242362535,0.576841000719914
17,0.3588498304039469,0.20737103916067662,0.512931189638752
18,0.3588498304039469,0.20737103916067662,0.512931189638752
19,0.3588498304039469,0.20737103916067662,0.512931189638752
20,0.3588498304039469,0.20737103916067662,0.512931189638752
21,0.3588498304039469,0.20737103916067662,0.512931189638752
22,0.3588498304039469,0.20737103916067662,0.512931189638752
