Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.64,0.4221477383924897,0.7937783137129227
2,0.5973333333333333,0.380756741625705,0.7595918351037625
3,0.5513846153846154,0.3364724281915988,0.7222578273017823
4,0.5012587412587413,0.2888091979705914,0.6811040262225653
5,0.5012587412587413,0.2888091979705914,0.6811040262225653
6,0.4455633255633254,0.23701718134641792,0.635105857646347
7,0.4455633255633254,0.23701718134641792,0.635105857646347
8,0.4455633255633254,0.23701718134641792,0.635105857646347
9,0.4455633255633254,0.23701718134641792,0.635105857646347
10,0.4455633255633254,0.23701718134641792,0.635105857646347
