Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9784243216737505,0.9726186275287987,0.9830097910094809
2,0.956795994563068,0.9488643388461007,0.9635211004205532
3,0.9407948452811314,0.9315966348710857,0.9487903531308352
4,0.9261671021875624,0.9159258680777916,0.9352052863454746
5,0.9143610160497867,0.9033271489556118,0.9241888461123384
6,0.9100561148442793,0.8987338489819285,0.9201692395673247
7,0.9031998407495209,0.8914058799198622,0.9137755170218966
8,0.8973945927104239,0.8851948103889563,0.9083658341051294
9,0.8906472649456837,0.8779594362180758,0.9020904784432269
10,0.881184137755636,0.8677997558470695,0.8932978909948873
11,0.8764177597285605,0.8626735493792881,0.888876260150392
12,0.8712126059959484,0.8570474979813781,0.8840704601847593
13,0.8648892886943649,0.8501890203529494,0.8782520123962724
14,0.8587985190556722,0.8435588047918053,0.8726675770665128
15,0.8546255427726029,0.838989886885611,0.8688635357181067
16,0.8462559781535024,0.8297641035137555,0.8612861665453193
17,0.8390929892211267,0.8218343909423331,0.8548302676595801
18,0.8295578416163416,0.8111626857454869,0.8463342544108368
19,0.8214249216004949,0.8019884894680064,0.839148896739455
20,0.8183016329252074,0.7984154944500628,0.8364313009807284
21,0.8107942784947013,0.7896377180922451,0.8300571314461967
22,0.8059537156380168,0.7837692525080755,0.8261202916071032
23,0.7994801918176315,0.775520958713426,0.8211836964372881
24,0.7994801918176315,0.775520958713426,0.8211836964372881
