Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9137390098865422,0.911358180287972,0.9160588781979014
2,0.8453945199616428,0.8423095283962633,0.8484247304735383
3,0.799371540650796,0.7959293883153785,0.8027630793707704
4,0.7639964875281728,0.7603144488913495,0.7676309729670774
5,0.7348880962267802,0.7310258306266277,0.7387052963134414
6,0.7100592278035829,0.7060499307651008,0.7140255147075506
7,0.6872055618599625,0.683064193685187,0.6913057692205369
8,0.66619654991084,0.661934729480644,0.6704188795560747
9,0.6462864616991751,0.6419090595087991,0.6506259226103038
10,0.6278074871603149,0.623318910776946,0.6322595186205386
11,0.6118291497245384,0.6072399783557636,0.6163829551088952
12,0.5955558059247987,0.5908575896883925,0.6002198218058314
13,0.5816171856330559,0.5768184219306639,0.5863827167326592
14,0.5677151163179245,0.5628100795346129,0.5725878893056922
15,0.5571210910957461,0.5521258197293584,0.5620847870648762
16,0.5462687234632808,0.5411684752496219,0.5513380250517981
17,0.5353542634540248,0.5301357860856272,0.5405423756773965
18,0.5256182801130569,0.5202750712091178,0.5309315251603062
19,0.5166076810254041,0.5111286107248957,0.5220570413902759
20,0.508094485433372,0.5024589357927345,0.5137003824891148
21,0.49908284549643067,0.49324345712638645,0.504892402641206
22,0.49321435110203876,0.48719616625139717,0.499202229992322
23,0.4893307735343062,0.48314405163795676,0.49548643159870537
24,0.48820328327270623,0.48193237878342254,0.4944425606171042
