Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8507315469340784,0.8442759276393292,0.856942744265429
2,0.7587722155007217,0.7509852645744478,0.7663550878090184
3,0.6895145497772732,0.6810294403543975,0.6978268075682068
4,0.6351517210422492,0.6262384978530928,0.6439169533365866
5,0.6016542672404294,0.5925164891496855,0.6106596253216743
6,0.5687827792523203,0.5594397772419243,0.578008754766857
7,0.5474632432377334,0.5379915377261114,0.5568280438754865
8,0.5258168582129086,0.5162122542792384,0.5353249600987549
9,0.5046328696805898,0.49489662324337225,0.514283077407299
10,0.4841766110707195,0.47430485208880163,0.49397273561603333
11,0.46887301559738287,0.4588901193881932,0.478788311260236
12,0.4530434066980787,0.4429286857436726,0.46309909517433345
13,0.4410709842307609,0.4308382919834488,0.4512513344369809
14,0.42975663662330227,0.41939547947065514,0.44007202728539796
15,0.41919394338581417,0.40869168126909744,0.4296568515994824
16,0.4099504165195339,0.399298201439312,0.4205691443129951
17,0.401563334222482,0.3907535914856289,0.41234522661166695
18,0.39451320984695953,0.38353337678140986,0.4054701472805436
19,0.3853384840365652,0.37408477760495196,0.39657625759179754
20,0.38050159929970456,0.36906307297690816,0.39192815973204154
21,0.3755600200880203,0.36386930296506365,0.38724309391764716
22,0.36811089572263805,0.35591984931794907,0.3803017249729928
23,0.3664338529175234,0.3540798710487833,0.3787895077796939
24,0.36381646825382685,0.35103133737164577,0.3766065817541569
