Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9710470485461133,0.9671369842126443,0.9744980424877129
2,0.950656236919622,0.9456332321818899,0.9552262119039974
3,0.9364018758124072,0.9307256142318152,0.9416277328598376
4,0.9258756459179974,0.9197502154868962,0.9315510899174705
5,0.9167686723515915,0.9102669237370702,0.9228195184522526
6,0.9087717369682037,0.901943913996429,0.9151467644667183
7,0.9013600675656833,0.8942309837889103,0.9080336751130876
8,0.8943518852221705,0.886932478662823,0.9013119156029098
9,0.8872675307470651,0.8795488124857521,0.894521743552812
10,0.8797015250688801,0.871656358806491,0.8872755426108809
11,0.8746696585987016,0.8664002035277234,0.8824625905631205
12,0.8685382455160474,0.8599823036511777,0.876609573209951
13,0.8634306992325069,0.854623412972503,0.8717452330499071
14,0.8557288643874896,0.8465281866871139,0.8644230417629395
15,0.8496077709369356,0.8400708142149705,0.8586249055765357
16,0.843497926799155,0.8335997567020788,0.8528604499332512
17,0.834058603535959,0.8235679497080097,0.8439859860262166
18,0.8275186772144542,0.8165731356722503,0.8378775316336349
19,0.821069191121056,0.8096306600015468,0.8318936334743522
20,0.8158021756398806,0.8039008624144101,0.8270609632038067
21,0.8136628342701957,0.8015335227865301,0.8251339060350812
22,0.8100902202887675,0.7974857682356038,0.8220001249147695
23,0.8064951453466576,0.7932604053789493,0.8189819943271271
24,0.8064951453466576,0.7932604053789493,0.8189819943271271
