Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.961449498843485,0.9532996048975154,0.9682009002627617
2,0.9408440659492822,0.9309280214914465,0.949375458313584
3,0.9264233255050994,0.9154214058442363,0.9360444676835123
4,0.9108068688530553,0.8987217866743866,0.9215134373778457
5,0.8981702740877515,0.8852512583572576,0.9097097852759233
6,0.890418516831528,0.8769891979146607,0.9024642407655704
7,0.8843687307381698,0.8705302112386768,0.8968168958162943
8,0.8756414077374637,0.8612037054312477,0.8886757268427306
9,0.8663458513920551,0.8512622199967399,0.8800093096825513
10,0.8589982767079279,0.843386169799999,0.8731730306935997
11,0.8518459180342565,0.8357017225559794,0.8665326521127412
12,0.8488008924112568,0.8324202897012413,0.8637137445990121
13,0.8446764954607648,0.8279502606570147,0.8599167511929917
14,0.8348546757461053,0.8172678794817824,0.8509063043510963
15,0.830040058238919,0.8120152553393926,0.8465032551806784
16,0.819466299535239,0.8004241943541771,0.8368807137127057
17,0.8136462263851308,0.7940122329733881,0.8316117004909729
18,0.8058352226118339,0.7853367216243421,0.8246000276566153
19,0.8028057668877292,0.7819199668559522,0.8219245176643986
20,0.7992137947763743,0.7777796609629061,0.8188271348036493
21,0.7969368323980941,0.7750556906328483,0.8169469992990661
22,0.7939852145003231,0.7713488426546249,0.8146564305298463
23,0.7939852145003231,0.7713488426546249,0.8146564305298463
24,0.7939852145003231,0.7713488426546249,0.8146564305298463
