Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9953294137040499,0.9942262674497524,0.9962221901452725
2,0.9897504682371663,0.9881616456300663,0.9911270136164412
3,0.9851564127754591,0.9832526991106265,0.9868451757155539
4,0.9803155037911762,0.9781184283708181,0.9822939773522534
5,0.9762107181333766,0.9737839293368096,0.9784153588312919
6,0.9731316305636374,0.9705381182558713,0.9754997285132965
7,0.969205621853895,0.9664038201038734,0.9717771882057092
8,0.9654334764027498,0.9624353051512258,0.9681963239394922
9,0.9601624556025631,0.9568957381033947,0.9631863869528032
10,0.9571973273005904,0.953779167595872,0.9603679855629417
11,0.9540163089923401,0.9504318754761752,0.957347391446678
12,0.9517426269646256,0.9480357791125276,0.9551913368834237
13,0.9478434121754703,0.9439203798555286,0.9514991092173348
14,0.9448503484765453,0.9407578457944837,0.9486679069628204
15,0.9427518468697126,0.9385333739586108,0.9466890900767694
16,0.9395834171979857,0.9351634124287372,0.9437112454734148
17,0.936716405584227,0.9321030571936362,0.9410262942294971
18,0.9343370946673466,0.929545348990482,0.938813765539618
19,0.9319932615906436,0.9270031456273642,0.9366540113409444
20,0.9296895155444153,0.9244726367904769,0.934558924255818
21,0.9281067959061031,0.9227025571182873,0.9331470171455792
22,0.9252535909999356,0.919432832275831,0.9306698275001866
23,0.9235651720382574,0.9174205126332604,0.9292704144321283
24,0.9235651720382574,0.9174205126332604,0.9292704144321283
