Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9380353319057815,0.932329486476563,0.9432748200958438
2,0.8844252934874673,0.8768685163422593,0.891547445675012
3,0.8431902665304438,0.8345522398205422,0.8514183866622871
4,0.8143908912169848,0.8050951557239011,0.823293322481284
5,0.7892135271603353,0.7793866525278855,0.7986610982867001
6,0.7657159075814518,0.7554163532513296,0.7756485809583038
7,0.7448556339131917,0.7341489719776365,0.7552060056825521
8,0.7226325748766871,0.7114963906112152,0.7334231695621586
9,0.7008763324704381,0.6893270428045525,0.7120905069606148
10,0.6803137933779841,0.6683687786437729,0.691933204374162
11,0.6667728874013462,0.6545612469136753,0.6786649732472945
12,0.6489151450379003,0.6363350411975162,0.6611831380682359
13,0.6336977044507466,0.620788963700559,0.6463004234612422
14,0.6130560854132633,0.5996825664248868,0.6261319076167463
15,0.6004524020547404,0.586774822113892,0.6138371593949248
16,0.5842336997183282,0.5701195602114215,0.5980603942746676
17,0.5697485666674605,0.5552043901374976,0.5840096976086504
18,0.5578310584346734,0.5428792914788554,0.5725024004535941
19,0.5483225744840823,0.5329866706508746,0.5633788279755562
20,0.5409044562272514,0.5252051853755182,0.5563230510334017
21,0.5302686944475019,0.5139066615693495,0.5463448838834121
22,0.5235198201545338,0.5066085916959983,0.5401384585528556
23,0.5195132909186573,0.5021243790140053,0.5366008457330014
24,0.5151840134943353,0.4969147731758853,0.5331302076201514
