Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.8990551964196913,0.8850496380331776,0.9114405637047853
2,0.831520533777837,0.8141946018082002,0.8473853929867646
3,0.7770397046289249,0.7577221100112331,0.7950315793673145
4,0.7364177633861881,0.7158479924700532,0.7557619534101493
5,0.7026652825643215,0.6811548548626735,0.723032439072816
6,0.681115139139951,0.6590215751630988,0.7021161747929431
7,0.6545691132042399,0.631755819350443,0.6763503735381335
8,0.625327194057659,0.6017346594062395,0.6479552226477184
9,0.6011209800941367,0.5768861646812343,0.6244486668918151
10,0.5854848852361969,0.5608166985842186,0.6092829521303325
11,0.5676290059111766,0.542428549863384,0.5920010582426711
12,0.5492855191851422,0.5235031592698381,0.5742831842828182
13,0.5394181146488822,0.5132999253394464,0.5647753954432452
14,0.5299338401056054,0.5034552644539046,0.5556735776261886
15,0.5155049484195615,0.4884002814582352,0.5419033358637405
16,0.4995764247324404,0.4717147883514766,0.5267698982180863
17,0.4813799324408616,0.45252611006647936,0.5096120251342519
18,0.46987284242235533,0.44027312317823275,0.49888129207043147
19,0.45846816178103594,0.4279422453128979,0.48843185552279145
20,0.45069751497118804,0.4194468983606775,0.48140669834591215
21,0.44103971107894857,0.4086010085360272,0.4729595111033529
22,0.4324758331939205,0.39856022465344815,0.4658873482323339
23,0.4324758331939205,0.39856022465344815,0.4658873482323339
24,0.42415899024788345,0.38716240643174366,0.4606298953022985
