Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9599999999999994,0.8969332262771715,0.9847965759645816
2,0.9391304347826079,0.8694776254995333,0.9721951203303255
3,0.8964426877470343,0.815951022099466,0.9429366471679108
4,0.8619641228336866,0.773812441332738,0.9175512892280391
5,0.8496503496503481,0.7588304436077616,0.9082911458152485
6,0.8365788058095736,0.7428363404223906,0.8984350611770702
7,0.8095923927189418,0.7103443531668907,0.8776974767564407
8,0.7956339031893052,0.6937669703941987,0.8667972363143566
9,0.7800332384208873,0.674815719931058,0.8547881187206899
10,0.7800332384208873,0.674815719931058,0.8547881187206899
11,0.7800332384208873,0.674815719931058,0.8547881187206899
12,0.7800332384208873,0.674815719931058,0.8547881187206899
13,0.7800332384208873,0.674815719931058,0.8547881187206899
14,0.7570910843496846,0.6432483249279957,0.8390369088670578
15,0.7334319879637571,0.6119951049192334,0.8222289216867736
16,0.7089842550316319,0.580794818992617,0.8043765815197966
17,0.7089842550316319,0.580794818992617,0.8043765815197966
18,0.7089842550316319,0.580794818992617,0.8043765815197966
19,0.7089842550316319,0.580794818992617,0.8043765815197966
20,0.6617186380295229,0.5053955272011402,0.7789204236957717
21,0.6617186380295229,0.5053955272011402,0.7789204236957717
