Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9924965893588,0.9864920066690388,0.9958376343323077
2,0.9796993553985864,0.9709145314714168,0.9858501789511739
3,0.9692849355234311,0.9587976149011113,0.9771347351984959
4,0.9606725491819463,0.9489397455500863,0.9697523600001144
5,0.949274739276398,0.9360646327549839,0.9598141337074257
6,0.9382267790162425,0.9237142610597004,0.9500533420980365
7,0.9237227901618855,0.907604095096364,0.9371274175359583
8,0.9188966522822514,0.9022532042388085,0.9328122986680354
9,0.9075139234814577,0.8896197594730489,0.9226341893655289
10,0.8977323362822563,0.8788025036994483,0.9138515843652315
11,0.8907279227351902,0.871042205198431,0.9075693988609084
12,0.8844374713034447,0.8640454255943404,0.9019460670965198
13,0.8789010865065533,0.8578407180207605,0.8970305695493136
14,0.8715277552439145,0.8495566415958207,0.8904991787776455
15,0.864999457451825,0.8421650984917743,0.8847589341547446
16,0.8559702355577564,0.8318711812424333,0.876873806984302
17,0.8438288137767957,0.8179471318084606,0.8663357134308969
18,0.8301080200568477,0.8021327404724907,0.8544920847212032
19,0.817218143969008,0.7872043883524931,0.8434262996798519
20,0.8111870137552144,0.7800980720392037,0.8383435626314844
21,0.8111870137552144,0.7800980720392037,0.8383435626314844
22,0.8111870137552144,0.7800980720392037,0.8383435626314844
23,0.8111870137552144,0.7800980720392037,0.8383435626314844
24,0.8111870137552144,0.7800980720392037,0.8383435626314844
