Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"148,625","7,359","8,147",94.68%,94.68%,99.76%,99.76%,94.91%,94.91%,0.06%,0.06%,0.06%,0.06%
2,1-<2 mo,"133,119","4,196","6,395",96.58%,91.50%,99.77%,99.53%,96.80%,91.92%,0.05%,0.07%,0.05%,0.08%
3,2-<3 mo,"122,528","3,149","6,448",97.18%,88.99%,99.77%,99.30%,97.40%,89.59%,0.05%,0.08%,0.05%,0.09%
4,3-<4 mo,"112,931","2,128","5,536",97.92%,87.20%,99.77%,99.07%,98.14%,87.97%,0.04%,0.09%,0.05%,0.09%
5,4-<5 mo,"105,267","1,516","5,828",98.40%,85.86%,99.78%,98.86%,98.62%,86.79%,0.04%,0.10%,0.04%,0.10%
6,5-<6 mo,"97,923","1,276","5,607",98.56%,84.67%,99.78%,98.64%,98.77%,85.76%,0.04%,0.10%,0.04%,0.10%
7,6-<7 mo,"91,040",946,"5,266",98.84%,83.73%,99.78%,98.42%,99.06%,84.98%,0.04%,0.10%,0.04%,0.10%
8,7-<8 mo,"84,828",819,"5,095",98.93%,82.87%,99.78%,98.21%,99.14%,84.28%,0.04%,0.11%,0.04%,0.11%
9,8-<9 mo,"78,914",781,"5,430",98.89%,82.00%,99.78%,98.00%,99.11%,83.55%,0.04%,0.11%,0.04%,0.11%
10,9-<10 mo,"72,703",655,"5,074",98.99%,81.21%,99.78%,97.79%,99.20%,82.91%,0.04%,0.11%,0.04%,0.12%
11,10-<11 mo,"66,974",507,"5,085",99.15%,80.55%,99.79%,97.58%,99.37%,82.40%,0.04%,0.11%,0.04%,0.12%
12,11-<12 mo,"61,382",533,"5,007",99.01%,79.80%,99.79%,97.38%,99.22%,81.78%,0.04%,0.12%,0.04%,0.12%
13,12-<13 mo,"55,842",408,"4,188",99.17%,79.17%,99.77%,97.15%,99.41%,81.31%,0.04%,0.12%,0.04%,0.13%
14,13-<14 mo,"51,246",346,"4,803",99.24%,78.60%,99.77%,96.93%,99.48%,80.89%,0.04%,0.12%,0.04%,0.13%
15,14-<15 mo,"46,097",275,"4,807",99.32%,78.09%,99.77%,96.71%,99.56%,80.54%,0.04%,0.13%,0.04%,0.13%
16,15-<16 mo,"41,015",266,"4,304",99.24%,77.54%,99.77%,96.49%,99.46%,80.13%,0.05%,0.13%,0.05%,0.14%
17,16-<17 mo,"36,445",241,"4,992",99.23%,76.98%,99.77%,96.27%,99.45%,79.71%,0.05%,0.13%,0.05%,0.14%
18,17-<18 mo,"31,212",179,"4,720",99.32%,76.48%,99.77%,96.06%,99.55%,79.36%,0.05%,0.14%,0.05%,0.14%
19,18-<19 mo,"26,313",156,"4,521",99.28%,75.97%,99.77%,95.84%,99.51%,78.98%,0.06%,0.14%,0.06%,0.15%
20,19-<20 mo,"21,636",94,"4,378",99.45%,75.59%,99.77%,95.63%,99.67%,78.74%,0.06%,0.15%,0.06%,0.16%
21,20-<21 mo,"17,164",86,"4,473",99.37%,75.14%,99.77%,95.42%,99.60%,78.43%,0.07%,0.15%,0.07%,0.16%
22,21-<22 mo,"12,605",56,"4,118",99.39%,74.73%,99.77%,95.21%,99.62%,78.15%,0.08%,0.16%,0.08%,0.17%
23,22-<23 mo,"8,431",42,"4,520",99.27%,74.21%,99.77%,95.00%,99.50%,77.76%,0.11%,0.18%,0.11%,0.19%
24,23-<24 mo,"3,869",8,"3,861",+,+,99.77%,94.79%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Oral Cavity and Pharynx/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"3,090",50,135,98.25%,98.25%,99.75%,99.75%,98.50%,98.50%,0.25%,0.25%,0.25%,0.25%
2,1-<2 mo,"2,905",45,126,98.20%,96.49%,99.75%,99.50%,98.44%,96.97%,0.27%,0.36%,0.27%,0.36%
3,2-<3 mo,"2,734",60,133,97.42%,94.02%,99.76%,99.26%,97.65%,94.71%,0.33%,0.47%,0.33%,0.47%
4,3-<4 mo,"2,541",40,114,98.24%,92.39%,99.76%,99.02%,98.47%,93.28%,0.28%,0.53%,0.28%,0.53%
5,4-<5 mo,"2,387",37,131,98.28%,90.83%,99.76%,98.79%,98.51%,91.91%,0.29%,0.58%,0.29%,0.59%
6,5-<6 mo,"2,219",38,118,98.11%,89.14%,99.76%,98.56%,98.34%,90.40%,0.31%,0.63%,0.31%,0.64%
7,6-<7 mo,"2,063",30,111,98.27%,87.65%,99.76%,98.32%,98.50%,89.08%,0.32%,0.67%,0.32%,0.69%
8,7-<8 mo,"1,922",30,110,98.13%,86.08%,99.77%,98.10%,98.36%,87.67%,0.34%,0.71%,0.35%,0.73%
9,8-<9 mo,"1,782",28,103,98.26%,84.61%,99.77%,97.87%,98.48%,86.36%,0.34%,0.75%,0.34%,0.78%
10,9-<10 mo,"1,651",16,119,98.96%,83.74%,99.77%,97.65%,99.19%,85.65%,0.27%,0.78%,0.27%,0.80%
11,10-<11 mo,"1,516",25,117,98.09%,82.20%,99.77%,97.43%,98.32%,84.25%,0.39%,0.82%,0.39%,0.85%
12,11-<12 mo,"1,374",19,132,98.45%,80.96%,99.78%,97.21%,98.67%,83.15%,0.36%,0.85%,0.36%,0.89%
13,12-<13 mo,"1,223",13,92,98.88%,80.07%,99.75%,96.98%,99.13%,82.43%,0.32%,0.88%,0.32%,0.92%
14,13-<14 mo,"1,118",10,109,99.06%,79.32%,99.75%,96.74%,99.31%,81.85%,0.31%,0.90%,0.31%,0.94%
15,14-<15 mo,999,10,102,98.83%,78.41%,99.75%,96.50%,99.05%,81.07%,0.38%,0.94%,0.38%,0.98%
16,15-<16 mo,887,9,96,98.60%,77.41%,99.75%,96.26%,98.84%,80.22%,0.47%,0.98%,0.47%,1.03%
17,16-<17 mo,782,5,109,99.16%,76.80%,99.76%,96.03%,99.38%,79.75%,0.39%,1.01%,0.39%,1.06%
18,17-<18 mo,668,5,108,99.03%,76.10%,99.76%,95.80%,99.24%,79.17%,0.45%,1.04%,0.45%,1.11%
19,18-<19 mo,555,5,97,98.95%,75.32%,99.75%,95.57%,99.20%,78.56%,0.49%,1.09%,0.49%,1.16%
20,19-<20 mo,453,2,93,99.43%,74.92%,99.76%,95.35%,99.66%,78.30%,0.42%,1.12%,0.42%,1.20%
21,20-<21 mo,358,1,100,99.49%,74.59%,99.76%,95.12%,99.69%,78.08%,0.50%,1.16%,0.51%,1.24%
22,21-<22 mo,257,1,82,99.27%,74.12%,99.76%,94.90%,99.46%,77.70%,0.72%,1.23%,0.73%,1.33%
23,22-<23 mo,174,0,104,100.00%,74.12%,99.78%,94.69%,100.00%,77.70%,0.00%,1.23%,0.00%,1.33%
