Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,281,21,20,92.25%,92.25%,99.77%,99.77%,92.46%,92.46%,1.62%,1.62%,1.63%,1.63%
2,1-<2 mo,240,7,11,97.01%,89.50%,99.78%,99.55%,97.23%,89.90%,1.11%,1.88%,1.11%,1.89%
3,2-<3 mo,222,5,11,97.69%,87.43%,99.80%,99.36%,97.88%,88.00%,1.02%,2.05%,1.02%,2.06%
4,3-<4 mo,206,4,9,98.01%,85.69%,99.82%,99.17%,98.20%,86.41%,0.98%,2.19%,0.98%,2.20%
5,4-<5 mo,193,3,13,98.39%,84.32%,99.83%,99.00%,98.56%,85.17%,0.92%,2.29%,0.92%,2.31%
6,5-<6 mo,177,1,10,99.42%,83.83%,99.83%,98.83%,99.59%,84.82%,0.58%,2.33%,0.58%,2.36%
7,6-<7 mo,166,2,12,98.75%,82.78%,99.83%,98.66%,98.92%,83.90%,0.88%,2.42%,0.88%,2.45%
8,7-<8 mo,152,3,10,97.96%,81.09%,99.83%,98.49%,98.13%,82.33%,1.17%,2.56%,1.17%,2.60%
9,8-<9 mo,139,1,7,99.26%,80.49%,99.83%,98.32%,99.43%,81.87%,0.74%,2.61%,0.74%,2.65%
10,9-<10 mo,131,2,13,98.39%,79.20%,99.83%,98.15%,98.56%,80.69%,1.13%,2.72%,1.13%,2.77%
11,10-<11 mo,116,1,4,99.12%,78.50%,99.83%,97.99%,99.29%,80.11%,0.87%,2.78%,0.87%,2.84%
12,11-<12 mo,111,1,10,99.06%,77.76%,99.83%,97.82%,99.23%,79.50%,0.94%,2.85%,0.94%,2.92%
13,12-<13 mo,100,2,10,97.89%,76.13%,99.81%,97.64%,98.08%,77.97%,1.47%,3.02%,1.48%,3.09%
14,13-<14 mo,88,0,8,100.00%,76.13%,99.83%,97.47%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
15,14-<15 mo,80,0,8,100.00%,76.13%,99.83%,97.31%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
16,15-<16 mo,72,0,11,100.00%,76.13%,99.82%,97.13%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
17,16-<17 mo,61,0,12,100.00%,76.13%,99.84%,96.97%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
18,17-<18 mo,49,0,10,100.00%,76.13%,99.83%,96.80%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
19,18-<19 mo,39,0,6,100.00%,76.13%,99.81%,96.63%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
20,19-<20 mo,33,0,6,100.00%,76.13%,99.80%,96.43%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
21,20-<21 mo,27,0,5,100.00%,76.13%,99.78%,96.21%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
22,21-<22 mo,22,0,8,100.00%,76.13%,99.80%,96.02%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
23,22-<23 mo,14,0,7,100.00%,76.13%,99.81%,95.84%,100.0000%*,77.9683%#,0.00%,3.02%,0.00%,3.0925%#
24,23-<24 mo,7,0,7,+,+,99.88%,95.72%,+,+,+,+,+,+
