Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,250",235,48,80.83%,80.83%,99.67%,99.67%,81.10%,81.10%,1.12%,1.12%,1.13%,1.13%
2,1-<2 mo,967,113,42,88.06%,71.18%,99.71%,99.38%,88.31%,71.62%,1.05%,1.31%,1.06%,1.31%
3,2-<3 mo,812,64,32,91.96%,65.45%,99.73%,99.11%,92.21%,66.04%,0.96%,1.38%,0.97%,1.40%
4,3-<4 mo,716,37,33,94.71%,61.99%,99.75%,98.87%,94.95%,62.70%,0.85%,1.42%,0.85%,1.44%
5,4-<5 mo,646,23,34,96.34%,59.72%,99.76%,98.63%,96.57%,60.55%,0.75%,1.45%,0.75%,1.47%
6,5-<6 mo,589,21,30,96.34%,57.54%,99.77%,98.40%,96.57%,58.47%,0.78%,1.47%,0.79%,1.49%
7,6-<7 mo,538,19,32,96.36%,55.45%,99.77%,98.18%,96.58%,56.48%,0.82%,1.49%,0.82%,1.52%
8,7-<8 mo,487,17,25,96.42%,53.46%,99.78%,97.96%,96.63%,54.57%,0.85%,1.52%,0.86%,1.55%
9,8-<9 mo,445,9,31,97.90%,52.34%,99.79%,97.75%,98.11%,53.54%,0.69%,1.53%,0.69%,1.56%
10,9-<10 mo,405,8,34,97.94%,51.26%,99.79%,97.55%,98.14%,52.55%,0.72%,1.54%,0.72%,1.58%
11,10-<11 mo,363,6,25,98.29%,50.38%,99.79%,97.34%,98.50%,51.76%,0.69%,1.56%,0.69%,1.60%
12,11-<12 mo,332,5,34,98.41%,49.58%,99.78%,97.13%,98.63%,51.05%,0.70%,1.57%,0.71%,1.62%
13,12-<13 mo,293,10,17,96.49%,47.84%,99.76%,96.89%,96.72%,49.38%,1.09%,1.61%,1.09%,1.66%
14,13-<14 mo,266,6,20,97.66%,46.72%,99.75%,96.65%,97.90%,48.34%,0.95%,1.64%,0.95%,1.70%
15,14-<15 mo,240,9,29,96.01%,44.85%,99.76%,96.42%,96.24%,46.52%,1.30%,1.69%,1.31%,1.75%
16,15-<16 mo,202,4,19,97.92%,43.92%,99.77%,96.20%,98.15%,45.66%,1.03%,1.72%,1.03%,1.78%
17,16-<17 mo,179,6,21,96.44%,42.36%,99.77%,95.98%,96.66%,44.13%,1.43%,1.77%,1.43%,1.84%
18,17-<18 mo,152,4,22,97.16%,41.16%,99.77%,95.75%,97.39%,42.98%,1.40%,1.82%,1.40%,1.90%
19,18-<19 mo,126,2,20,98.28%,40.45%,99.77%,95.53%,98.50%,42.34%,1.21%,1.85%,1.21%,1.94%
20,19-<20 mo,104,0,24,100.00%,40.45%,99.77%,95.32%,100.0000%*,42.3381%#,0.00%,1.85%,0.00%,1.9413%#
21,20-<21 mo,80,2,18,97.18%,39.31%,99.76%,95.08%,97.42%,41.34%,1.96%,1.97%,1.97%,2.07%
22,21-<22 mo,60,2,16,96.15%,37.80%,99.76%,94.85%,96.39%,39.85%,2.67%,2.16%,2.67%,2.28%
23,22-<23 mo,42,2,24,93.33%,35.28%,99.82%,94.68%,93.50%,37.26%,4.55%,2.65%,4.56%,2.80%
24,23-<24 mo,16,0,16,+,+,99.78%,94.47%,+,+,+,+,+,+
