Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,523,25,24,95.19%,95.19%,99.82%,99.82%,95.37%,95.37%,0.94%,0.94%,0.94%,0.94%
2,1-<2 mo,474,17,22,96.43%,91.83%,99.82%,99.64%,96.60%,92.16%,0.84%,1.20%,0.84%,1.20%
3,2-<3 mo,435,6,14,98.59%,90.53%,99.83%,99.47%,98.76%,91.00%,0.57%,1.30%,0.57%,1.31%
4,3-<4 mo,415,9,24,97.73%,88.52%,99.83%,99.30%,97.88%,89.11%,0.74%,1.42%,0.75%,1.44%
5,4-<5 mo,382,8,19,97.89%,86.72%,99.83%,99.13%,98.04%,87.44%,0.73%,1.52%,0.74%,1.54%
6,5-<6 mo,355,5,21,98.57%,85.52%,99.83%,98.97%,98.72%,86.35%,0.64%,1.59%,0.64%,1.61%
7,6-<7 mo,329,4,23,98.65%,84.42%,99.84%,98.81%,98.79%,85.36%,0.67%,1.66%,0.67%,1.68%
8,7-<8 mo,302,4,23,98.63%,83.29%,99.84%,98.65%,98.77%,84.35%,0.69%,1.73%,0.69%,1.76%
9,8-<9 mo,275,6,16,97.50%,81.35%,99.84%,98.50%,97.63%,82.48%,1.00%,1.84%,1.00%,1.88%
10,9-<10 mo,253,5,17,97.83%,79.67%,99.84%,98.34%,97.98%,80.90%,0.97%,1.94%,0.97%,1.99%
11,10-<11 mo,231,0,18,100.00%,79.67%,99.85%,98.19%,100.00%,80.90%,0.00%,1.94%,0.00%,1.99%
12,11-<12 mo,213,4,17,98.05%,78.06%,99.85%,98.05%,98.20%,79.50%,0.98%,2.07%,0.98%,2.12%
13,12-<13 mo,192,6,12,96.03%,75.26%,99.83%,97.88%,96.16%,76.71%,1.57%,2.26%,1.57%,2.32%
14,13-<14 mo,174,2,26,98.59%,74.25%,99.83%,97.72%,98.73%,75.76%,1.00%,2.33%,1.00%,2.40%
15,14-<15 mo,146,2,14,98.34%,73.07%,99.85%,97.57%,98.47%,74.64%,1.16%,2.43%,1.16%,2.50%
16,15-<16 mo,130,2,16,98.08%,71.73%,99.85%,97.42%,98.20%,73.36%,1.35%,2.55%,1.35%,2.63%
17,16-<17 mo,112,4,12,95.85%,68.93%,99.85%,97.28%,95.99%,70.64%,2.08%,2.80%,2.08%,2.89%
18,17-<18 mo,96,3,13,97.27%,66.73%,99.85%,97.13%,97.30%,68.45%,1.55%,3.01%,1.55%,3.10%
19,18-<19 mo,80,1,18,98.90%,65.87%,99.85%,96.99%,98.92%,67.59%,1.08%,3.10%,1.08%,3.19%
20,19-<20 mo,61,1,12,97.50%,64.48%,99.85%,96.85%,97.61%,66.33%,2.43%,3.31%,2.44%,3.43%
21,20-<21 mo,48,0,13,100.00%,64.48%,99.85%,96.71%,100.00%,66.33%,0.00%,3.31%,0.00%,3.43%
22,21-<22 mo,35,0,9,100.00%,64.48%,99.83%,96.55%,100.00%,66.33%,0.00%,3.31%,0.00%,3.43%
23,22-<23 mo,26,0,17,100.00%,64.48%,99.88%,96.44%,100.00%,66.33%,0.00%,3.31%,0.00%,3.43%
24,23-<24 mo,9,0,9,+,+,99.87%,96.32%,+,+,+,+,+,+
