Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,612,51,32,89.58%,89.58%,99.81%,99.81%,89.74%,89.74%,1.39%,1.39%,1.39%,1.39%
2,1-<2 mo,529,42,30,90.47%,81.29%,99.82%,99.63%,90.63%,81.56%,1.47%,1.75%,1.48%,1.76%
3,2-<3 mo,457,23,33,94.05%,76.62%,99.83%,99.46%,94.20%,76.99%,1.30%,1.90%,1.31%,1.91%
4,3-<4 mo,401,20,22,94.29%,72.41%,99.83%,99.29%,94.45%,72.86%,1.35%,2.01%,1.35%,2.03%
5,4-<5 mo,359,20,17,93.07%,67.73%,99.83%,99.12%,93.23%,68.25%,1.60%,2.11%,1.61%,2.14%
6,5-<6 mo,322,7,26,97.19%,65.99%,99.83%,98.95%,97.36%,66.58%,1.15%,2.15%,1.16%,2.18%
7,6-<7 mo,289,7,17,98.20%,64.61%,99.85%,98.80%,98.23%,65.22%,0.67%,2.19%,0.67%,2.22%
8,7-<8 mo,265,7,12,97.55%,62.98%,99.85%,98.65%,97.70%,63.73%,1.01%,2.23%,1.01%,2.27%
9,8-<9 mo,246,7,13,95.88%,60.68%,99.84%,98.50%,96.03%,61.47%,1.63%,2.29%,1.63%,2.33%
10,9-<10 mo,226,7,18,95.88%,58.43%,99.85%,98.35%,96.03%,59.24%,1.69%,2.34%,1.70%,2.40%
11,10-<11 mo,201,3,17,98.19%,57.44%,99.85%,98.20%,98.34%,58.31%,1.18%,2.37%,1.18%,2.43%
12,11-<12 mo,181,5,17,97.14%,55.73%,99.84%,98.05%,97.29%,56.66%,1.41%,2.43%,1.42%,2.49%
13,12-<13 mo,159,3,19,96.83%,54.26%,99.82%,97.87%,96.98%,55.21%,1.89%,2.48%,1.90%,2.55%
14,13-<14 mo,137,6,11,94.71%,51.65%,99.81%,97.68%,94.89%,52.64%,2.43%,2.58%,2.43%,2.66%
15,14-<15 mo,120,2,10,97.61%,50.66%,99.80%,97.49%,97.80%,51.68%,1.90%,2.61%,1.90%,2.69%
16,15-<16 mo,108,4,7,94.54%,48.35%,99.81%,97.31%,94.71%,49.37%,2.91%,2.70%,2.92%,2.79%
17,16-<17 mo,97,0,16,100.00%,48.35%,99.80%,97.12%,100.00%,49.37%,0.00%,2.70%,0.00%,2.79%
18,17-<18 mo,81,3,17,97.49%,46.90%,99.80%,96.93%,97.51%,47.93%,1.38%,2.77%,1.38%,2.86%
19,18-<19 mo,61,0,3,100.00%,46.90%,99.80%,96.74%,100.00%,47.93%,0.00%,2.77%,0.00%,2.86%
20,19-<20 mo,58,0,11,100.00%,46.90%,99.80%,96.55%,100.00%,47.93%,0.00%,2.77%,0.00%,2.86%
21,20-<21 mo,47,0,10,100.00%,46.90%,99.79%,96.35%,100.00%,47.93%,0.00%,2.77%,0.00%,2.86%
22,21-<22 mo,37,1,10,98.16%,45.94%,99.76%,96.12%,98.18%,47.00%,1.78%,2.88%,1.78%,2.98%
23,22-<23 mo,26,0,14,100.00%,45.94%,99.87%,96.00%,100.00%,47.00%,0.00%,2.88%,0.00%,2.98%
24,23-<24 mo,12,0,12,+,+,99.92%,95.93%,+,+,+,+,+,+
