Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,612,51,32,91.44%,91.44%,99.85%,99.85%,91.58%,91.58%,1.15%,1.15%,1.15%,1.15%
2,1-<2 mo,529,42,30,91.83%,83.97%,99.87%,99.73%,91.95%,84.20%,1.21%,1.53%,1.21%,1.53%
3,2-<3 mo,457,23,33,94.78%,79.59%,99.88%,99.61%,94.89%,79.90%,1.06%,1.70%,1.06%,1.70%
4,3-<4 mo,401,20,22,94.87%,75.51%,99.88%,99.49%,94.98%,75.89%,1.12%,1.84%,1.12%,1.85%
5,4-<5 mo,359,20,17,94.29%,71.20%,99.88%,99.37%,94.41%,71.65%,1.24%,1.97%,1.24%,1.98%
6,5-<6 mo,322,7,26,97.73%,69.58%,99.89%,99.26%,97.85%,70.10%,0.85%,2.02%,0.85%,2.03%
7,6-<7 mo,289,7,17,97.50%,67.85%,99.90%,99.16%,97.60%,68.42%,0.93%,2.07%,0.93%,2.09%
8,7-<8 mo,265,7,12,97.30%,66.01%,99.90%,99.06%,97.40%,66.64%,1.01%,2.13%,1.01%,2.15%
9,8-<9 mo,246,7,13,97.08%,64.08%,99.90%,98.95%,97.18%,64.76%,1.09%,2.19%,1.09%,2.21%
10,9-<10 mo,226,7,18,96.77%,62.02%,99.90%,98.85%,96.87%,62.74%,1.20%,2.25%,1.20%,2.28%
11,10-<11 mo,201,3,17,98.44%,61.05%,99.90%,98.75%,98.54%,61.82%,0.89%,2.29%,0.89%,2.31%
12,11-<12 mo,181,5,17,97.10%,59.28%,99.90%,98.65%,97.20%,60.09%,1.28%,2.35%,1.28%,2.38%
13,12-<13 mo,159,3,19,97.99%,58.09%,99.88%,98.53%,98.11%,58.96%,1.15%,2.40%,1.15%,2.44%
14,13-<14 mo,137,6,11,95.44%,55.44%,99.88%,98.41%,95.55%,56.33%,1.82%,2.53%,1.82%,2.57%
15,14-<15 mo,120,2,10,98.26%,54.48%,99.87%,98.29%,98.38%,55.43%,1.22%,2.57%,1.22%,2.62%
16,15-<16 mo,108,4,7,96.17%,52.39%,99.88%,98.17%,96.29%,53.37%,1.88%,2.68%,1.88%,2.73%
17,16-<17 mo,97,0,16,100.00%,52.39%,99.88%,98.05%,100.0000%*,53.3678%#,0.00%,2.68%,0.00%,2.7264%#
18,17-<18 mo,81,3,17,95.86%,50.22%,99.89%,97.94%,95.97%,51.28%,2.34%,2.84%,2.34%,2.90%
19,18-<19 mo,61,0,3,100.00%,50.22%,99.87%,97.81%,100.0000%*,51.2814%#,0.00%,2.84%,0.00%,2.9033%#
20,19-<20 mo,58,0,11,100.00%,50.22%,99.87%,97.68%,100.0000%*,51.2814%#,0.00%,2.84%,0.00%,2.9033%#
21,20-<21 mo,47,0,10,100.00%,50.22%,99.88%,97.56%,100.0000%*,51.2814%#,0.00%,2.84%,0.00%,2.9033%#
22,21-<22 mo,37,1,10,96.88%,48.65%,99.89%,97.45%,96.99%,49.93%,3.08%,3.16%,3.08%,3.24%
23,22-<23 mo,26,0,14,100.00%,48.65%,99.91%,97.36%,100.0000%*,49.9266%#,0.00%,3.16%,0.00%,3.2407%#
24,23-<24 mo,12,0,12,+,+,99.93%,97.30%,+,+,+,+,+,+
