Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,104,9,8,91.00%,91.00%,99.78%,99.78%,91.20%,91.20%,2.86%,2.86%,2.87%,2.87%
2,1-<2 mo,87,9,2,89.53%,81.48%,99.81%,99.59%,89.71%,81.81%,3.30%,3.95%,3.31%,3.96%
3,2-<3 mo,76,5,3,93.29%,76.01%,99.81%,99.40%,93.47%,76.46%,2.90%,4.38%,2.90%,4.40%
4,3-<4 mo,68,4,2,94.03%,71.47%,99.81%,99.21%,94.21%,72.04%,2.89%,4.67%,2.90%,4.70%
5,4-<5 mo,62,3,2,95.08%,67.96%,99.83%,99.04%,95.25%,68.61%,2.77%,4.86%,2.77%,4.90%
6,5-<6 mo,57,2,3,96.40%,65.51%,99.85%,98.89%,96.54%,66.24%,2.50%,4.98%,2.51%,5.04%
7,6-<7 mo,52,2,2,96.08%,62.94%,99.85%,98.75%,96.22%,63.74%,2.72%,5.11%,2.72%,5.17%
8,7-<8 mo,48,2,1,95.79%,60.29%,99.87%,98.62%,95.92%,61.13%,2.91%,5.22%,2.92%,5.30%
9,8-<9 mo,45,0,6,100.00%,60.29%,99.86%,98.48%,100.0000%*,61.1341%#,0.00%,5.22%,0.00%,5.2974%#
10,9-<10 mo,39,0,1,100.00%,60.29%,99.87%,98.35%,100.0000%*,61.1341%#,0.00%,5.22%,0.00%,5.2974%#
11,10-<11 mo,38,0,2,100.00%,60.29%,99.87%,98.22%,100.0000%*,61.1341%#,0.00%,5.22%,0.00%,5.2974%#
12,11-<12 mo,36,1,2,97.14%,58.57%,99.86%,98.08%,97.28%,59.71%,2.82%,5.35%,2.82%,5.46%
13,12-<13 mo,33,0,2,100.00%,58.57%,99.85%,97.93%,100.0000%*,59.7124%#,0.00%,5.35%,0.00%,5.4561%#
14,13-<14 mo,31,0,2,100.00%,58.57%,99.84%,97.78%,100.0000%*,59.7124%#,0.00%,5.35%,0.00%,5.4561%#
15,14-<15 mo,29,0,3,100.00%,58.57%,99.85%,97.63%,100.0000%*,59.7124%#,0.00%,5.35%,0.00%,5.4561%#
16,15-<16 mo,26,1,6,95.65%,56.02%,99.85%,97.48%,95.80%,57.46%,4.25%,5.69%,4.26%,5.84%
17,16-<17 mo,19,1,3,94.29%,52.82%,99.83%,97.32%,94.44%,54.27%,5.55%,6.20%,5.56%,6.37%
18,17-<18 mo,15,1,2,92.86%,49.05%,99.81%,97.13%,93.04%,50.49%,6.88%,6.81%,6.90%,7.01%
19,18-<19 mo,12,1,1,91.30%,44.78%,99.78%,96.92%,91.51%,46.21%,8.31%,7.43%,8.33%,7.67%
20,19-<20 mo,10,0,3,100.00%,44.78%,99.80%,96.72%,100.0000%*,46.2052%#,0.00%,7.43%,0.00%,7.6712%#
21,20-<21 mo,7,0,3,100.00%,44.78%,99.85%,96.58%,100.0000%*,46.2052%#,0.00%,7.43%,0.00%,7.6712%#
22,21-<22 mo,4,0,2,100.00%,44.78%,99.84%,96.42%,100.0000%*,46.2052%#,0.00%,7.43%,0.00%,7.6712%#
23,22-<23 mo,2,0,0,100.00%,44.78%,99.76%,96.19%,100.0000%*,46.2052%#,0.00%,7.43%,0.00%,7.6712%#
24,23-<24 mo,2,0,2,+,+,99.76%,95.96%,+,+,+,+,+,+
