Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,164,55,2,63.22%,63.22%,99.71%,99.71%,63.36%,63.36%,3.63%,3.63%,3.65%,3.65%
2,1-<2 mo,107,9,3,87.85%,57.06%,99.76%,99.47%,88.04%,57.27%,3.85%,3.60%,3.86%,3.63%
3,2-<3 mo,95,6,4,91.18%,52.99%,99.76%,99.24%,91.38%,53.26%,3.73%,3.59%,3.75%,3.63%
4,3-<4 mo,85,1,1,97.43%,52.20%,99.76%,99.00%,97.62%,52.52%,2.50%,3.56%,2.51%,3.60%
5,4-<5 mo,83,3,7,93.45%,50.03%,99.76%,98.77%,93.65%,50.39%,3.77%,3.49%,3.79%,3.54%
6,5-<6 mo,73,2,5,98.32%,48.59%,99.80%,98.57%,98.32%,48.98%,1.16%,3.59%,1.16%,3.65%
7,6-<7 mo,66,2,3,97.55%,47.30%,99.80%,98.38%,97.57%,47.70%,1.66%,3.61%,1.66%,3.67%
8,7-<8 mo,61,1,3,99.01%,46.50%,99.80%,98.18%,99.02%,46.92%,0.97%,3.67%,0.97%,3.72%
9,8-<9 mo,57,0,0,100.00%,46.50%,99.80%,97.98%,100.00%,46.92%,0.00%,3.67%,0.00%,3.72%
10,9-<10 mo,57,2,6,94.34%,44.73%,99.80%,97.79%,94.52%,45.36%,4.22%,3.66%,4.24%,3.75%
11,10-<11 mo,49,0,4,100.00%,44.73%,99.81%,97.61%,100.00%,45.36%,0.00%,3.66%,0.00%,3.75%
12,11-<12 mo,45,3,1,91.92%,41.70%,99.81%,97.43%,92.09%,42.38%,5.09%,3.76%,5.11%,3.86%
13,12-<13 mo,41,1,4,97.79%,40.76%,99.78%,97.22%,97.82%,41.44%,2.12%,3.78%,2.12%,3.89%
14,13-<14 mo,36,1,4,96.93%,39.56%,99.77%,97.00%,96.96%,40.23%,2.89%,3.84%,2.89%,3.94%
15,14-<15 mo,31,1,5,95.75%,38.08%,99.76%,96.78%,95.79%,38.74%,3.90%,3.90%,3.91%,4.01%
16,15-<16 mo,25,1,3,97.80%,36.46%,99.76%,96.54%,97.80%,37.14%,2.12%,4.13%,2.12%,4.23%
17,16-<17 mo,21,0,2,100.00%,36.46%,99.85%,96.40%,100.00%,37.14%,0.00%,4.13%,0.00%,4.23%
18,17-<18 mo,19,1,4,93.87%,34.65%,99.85%,96.26%,93.90%,35.33%,5.41%,4.19%,5.42%,4.30%
19,18-<19 mo,14,0,4,100.00%,34.65%,99.86%,96.13%,100.00%,35.33%,0.00%,4.19%,0.00%,4.30%
20,19-<20 mo,10,0,1,100.00%,34.65%,99.87%,96.01%,100.00%,35.33%,0.00%,4.19%,0.00%,4.30%
21,20-<21 mo,9,0,4,100.00%,34.65%,99.87%,95.89%,100.00%,35.33%,0.00%,4.19%,0.00%,4.30%
22,21-<22 mo,5,0,1,100.00%,34.65%,99.88%,95.78%,100.00%,35.33%,0.00%,4.19%,0.00%,4.30%
23,22-<23 mo,4,0,3,+,+,99.87%,95.65%,+,+,+,+,+,+
