Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,907,15,43,98.31%,98.31%,99.89%,99.89%,98.41%,98.41%,0.43%,0.43%,0.43%,0.43%
2,1-<2 mo,849,11,42,98.67%,97.00%,99.90%,99.80%,98.77%,97.20%,0.40%,0.58%,0.40%,0.58%
3,2-<3 mo,796,10,27,98.72%,95.76%,99.91%,99.71%,98.81%,96.04%,0.40%,0.69%,0.40%,0.69%
4,3-<4 mo,759,7,46,99.05%,94.85%,99.91%,99.62%,99.13%,95.21%,0.36%,0.77%,0.36%,0.77%
5,4-<5 mo,706,6,31,99.13%,94.03%,99.92%,99.54%,99.21%,94.46%,0.35%,0.83%,0.35%,0.83%
6,5-<6 mo,669,9,50,98.60%,92.71%,99.92%,99.46%,98.68%,93.21%,0.46%,0.93%,0.46%,0.93%
7,6-<7 mo,610,5,32,99.16%,91.93%,99.93%,99.39%,99.23%,92.50%,0.37%,0.98%,0.38%,0.99%
8,7-<8 mo,573,6,35,98.92%,90.94%,99.93%,99.31%,98.99%,91.57%,0.44%,1.05%,0.44%,1.06%
9,8-<9 mo,532,6,45,98.82%,89.87%,99.93%,99.24%,98.90%,90.56%,0.48%,1.13%,0.48%,1.14%
10,9-<10 mo,481,4,35,99.14%,89.09%,99.93%,99.17%,99.21%,89.84%,0.43%,1.18%,0.43%,1.19%
11,10-<11 mo,442,3,35,99.29%,88.46%,99.93%,99.10%,99.36%,89.27%,0.41%,1.23%,0.41%,1.24%
12,11-<12 mo,404,6,38,98.44%,87.08%,99.93%,99.03%,98.51%,87.94%,0.63%,1.33%,0.63%,1.35%
13,12-<13 mo,360,1,20,99.71%,86.83%,99.93%,98.96%,99.79%,87.75%,0.29%,1.35%,0.29%,1.37%
14,13-<14 mo,339,1,33,99.69%,86.57%,99.93%,98.89%,99.76%,87.54%,0.31%,1.37%,0.31%,1.39%
15,14-<15 mo,305,3,36,98.95%,85.66%,99.93%,98.82%,99.03%,86.68%,0.60%,1.46%,0.60%,1.47%
16,15-<16 mo,266,2,31,99.20%,84.98%,99.92%,98.75%,99.28%,86.06%,0.56%,1.52%,0.56%,1.54%
17,16-<17 mo,233,0,34,100.00%,84.98%,99.92%,98.67%,100.0000%*,86.0552%#,0.00%,1.52%,0.00%,1.5413%#
18,17-<18 mo,199,1,26,99.46%,84.52%,99.92%,98.59%,99.54%,85.73%,0.54%,1.58%,0.54%,1.60%
19,18-<19 mo,172,0,34,100.00%,84.52%,99.92%,98.51%,100.0000%*,85.7293%#,0.00%,1.58%,0.00%,1.6035%#
20,19-<20 mo,138,1,31,99.18%,83.83%,99.91%,98.42%,99.27%,85.18%,0.81%,1.71%,0.81%,1.74%
21,20-<21 mo,106,1,33,98.88%,82.89%,99.93%,98.35%,98.95%,84.28%,1.11%,1.93%,1.11%,1.96%
22,21-<22 mo,72,2,32,96.43%,79.93%,99.92%,98.28%,96.50%,81.33%,2.48%,2.77%,2.48%,2.82%
23,22-<23 mo,38,0,20,100.00%,79.93%,99.93%,98.21%,100.0000%*,81.3347%#,0.00%,2.77%,0.00%,2.8230%#
24,23-<24 mo,18,0,18,+,+,99.95%,98.16%,+,+,+,+,+,+
