Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"83,336",338,"3,251",99.59%,99.59%,99.88%,99.88%,99.70%,99.70%,0.02%,0.02%,0.02%,0.02%
2,1-<2 mo,"79,747",235,"3,502",99.70%,99.29%,99.88%,99.77%,99.82%,99.52%,0.02%,0.03%,0.02%,0.03%
3,2-<3 mo,"76,010",198,"3,966",99.73%,99.02%,99.88%,99.65%,99.85%,99.37%,0.02%,0.04%,0.02%,0.04%
4,3-<4 mo,"71,846",159,"3,440",99.77%,98.80%,99.88%,99.53%,99.89%,99.26%,0.02%,0.04%,0.02%,0.04%
5,4-<5 mo,"68,247",157,"3,757",99.76%,98.56%,99.89%,99.42%,99.88%,99.14%,0.02%,0.04%,0.02%,0.04%
6,5-<6 mo,"64,333",130,"3,581",99.79%,98.36%,99.89%,99.31%,99.91%,99.04%,0.02%,0.05%,0.02%,0.05%
7,6-<7 mo,"60,622",111,"3,578",99.81%,98.17%,99.89%,99.19%,99.93%,98.97%,0.02%,0.05%,0.02%,0.05%
8,7-<8 mo,"56,933",120,"3,600",99.78%,97.96%,99.89%,99.08%,99.90%,98.87%,0.02%,0.05%,0.02%,0.05%
9,8-<9 mo,"53,213",111,"3,625",99.78%,97.75%,99.89%,98.97%,99.90%,98.77%,0.02%,0.06%,0.02%,0.06%
10,9-<10 mo,"49,477",115,"3,625",99.76%,97.51%,99.89%,98.86%,99.87%,98.64%,0.02%,0.06%,0.02%,0.06%
11,10-<11 mo,"45,737",93,"3,569",99.79%,97.30%,99.89%,98.75%,99.90%,98.54%,0.02%,0.06%,0.02%,0.07%
12,11-<12 mo,"42,075",89,"3,626",99.78%,97.09%,99.89%,98.64%,99.89%,98.43%,0.02%,0.07%,0.02%,0.07%
13,12-<13 mo,"38,360",93,"3,113",99.75%,96.84%,99.88%,98.51%,99.87%,98.31%,0.03%,0.07%,0.03%,0.07%
14,13-<14 mo,"35,154",96,"3,521",99.71%,96.57%,99.88%,98.39%,99.84%,98.15%,0.03%,0.08%,0.03%,0.08%
15,14-<15 mo,"31,537",68,"3,408",99.77%,96.35%,99.88%,98.27%,99.90%,98.04%,0.03%,0.08%,0.03%,0.08%
16,15-<16 mo,"28,061",66,"2,920",99.75%,96.11%,99.88%,98.15%,99.87%,97.92%,0.03%,0.09%,0.03%,0.09%
17,16-<17 mo,"25,075",64,"3,467",99.73%,95.84%,99.88%,98.03%,99.85%,97.77%,0.03%,0.09%,0.03%,0.09%
18,17-<18 mo,"21,544",56,"3,095",99.72%,95.57%,99.88%,97.91%,99.84%,97.62%,0.04%,0.10%,0.04%,0.10%
19,18-<19 mo,"18,393",43,"3,021",99.75%,95.33%,99.88%,97.79%,99.87%,97.49%,0.04%,0.11%,0.04%,0.11%
20,19-<20 mo,"15,329",36,"3,004",99.74%,95.08%,99.88%,97.67%,99.86%,97.35%,0.04%,0.11%,0.04%,0.12%
21,20-<21 mo,"12,289",25,"3,215",99.77%,94.86%,99.88%,97.55%,99.89%,97.24%,0.05%,0.12%,0.05%,0.12%
22,21-<22 mo,"9,049",16,"2,941",99.79%,94.66%,99.88%,97.43%,99.91%,97.15%,0.05%,0.13%,0.05%,0.13%
23,22-<23 mo,"6,092",9,"3,346",99.80%,94.47%,99.88%,97.32%,99.92%,97.07%,0.07%,0.15%,0.07%,0.15%
24,23-<24 mo,"2,737",3,"2,734",+,+,99.88%,97.20%,+,+,+,+,+,+
