Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"5,870",248,253,95.68%,95.68%,99.70%,99.70%,95.97%,95.97%,0.27%,0.27%,0.27%,0.27%
2,1-<2 mo,"5,369",177,219,96.63%,92.46%,99.72%,99.42%,96.91%,93.00%,0.25%,0.35%,0.25%,0.35%
3,2-<3 mo,"4,973",98,218,97.99%,90.60%,99.72%,99.14%,98.26%,91.38%,0.20%,0.39%,0.20%,0.40%
4,3-<4 mo,"4,657",91,235,98.00%,88.78%,99.73%,98.87%,98.26%,89.80%,0.21%,0.43%,0.21%,0.43%
5,4-<5 mo,"4,331",72,253,98.29%,87.26%,99.73%,98.61%,98.55%,88.50%,0.20%,0.46%,0.20%,0.46%
6,5-<6 mo,"4,006",51,215,98.69%,86.12%,99.73%,98.34%,98.95%,87.57%,0.18%,0.48%,0.18%,0.49%
7,6-<7 mo,"3,740",55,229,98.48%,84.81%,99.73%,98.08%,98.75%,86.47%,0.20%,0.50%,0.20%,0.51%
8,7-<8 mo,"3,456",38,224,98.86%,83.85%,99.74%,97.82%,99.12%,85.72%,0.18%,0.52%,0.18%,0.53%
9,8-<9 mo,"3,194",36,220,98.83%,82.87%,99.74%,97.57%,99.09%,84.94%,0.19%,0.54%,0.19%,0.55%
10,9-<10 mo,"2,938",41,206,98.55%,81.67%,99.74%,97.32%,98.81%,83.92%,0.22%,0.56%,0.22%,0.58%
11,10-<11 mo,"2,691",29,206,98.88%,80.76%,99.75%,97.07%,99.13%,83.19%,0.21%,0.58%,0.21%,0.60%
12,11-<12 mo,"2,456",28,197,98.81%,79.80%,99.75%,96.83%,99.06%,82.42%,0.22%,0.60%,0.22%,0.62%
13,12-<13 mo,"2,231",21,159,99.02%,79.02%,99.72%,96.56%,99.30%,81.84%,0.21%,0.62%,0.21%,0.64%
14,13-<14 mo,"2,051",26,182,98.67%,77.97%,99.73%,96.29%,98.94%,80.97%,0.26%,0.64%,0.26%,0.67%
15,14-<15 mo,"1,843",18,197,98.97%,77.17%,99.73%,96.03%,99.24%,80.36%,0.24%,0.67%,0.24%,0.69%
16,15-<16 mo,"1,628",19,168,98.77%,76.22%,99.73%,95.77%,99.04%,79.58%,0.28%,0.69%,0.28%,0.72%
17,16-<17 mo,"1,441",26,177,98.08%,74.75%,99.73%,95.51%,98.35%,78.27%,0.37%,0.74%,0.37%,0.77%
18,17-<18 mo,"1,238",23,158,98.02%,73.27%,99.73%,95.25%,98.28%,76.92%,0.41%,0.78%,0.41%,0.82%
19,18-<19 mo,"1,057",13,188,98.65%,72.28%,99.73%,94.99%,98.91%,76.09%,0.37%,0.82%,0.37%,0.86%
20,19-<20 mo,856,9,166,98.84%,71.44%,99.73%,94.74%,99.10%,75.40%,0.39%,0.86%,0.39%,0.90%
21,20-<21 mo,681,3,182,99.49%,71.08%,99.74%,94.49%,99.75%,75.22%,0.29%,0.88%,0.29%,0.93%
22,21-<22 mo,496,5,183,98.76%,70.20%,99.73%,94.24%,99.03%,74.49%,0.55%,0.95%,0.55%,1.01%
23,22-<23 mo,308,2,166,99.11%,69.57%,99.72%,93.97%,99.39%,74.04%,0.63%,1.04%,0.63%,1.11%
24,23-<24 mo,140,1,139,+,+,99.73%,93.72%,+,+,+,+,+,+
