Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,536",61,116,98.30%,98.30%,99.75%,99.75%,98.54%,98.54%,0.22%,0.22%,0.22%,0.22%
2,1-<2 mo,"3,359",21,138,99.38%,97.69%,99.76%,99.51%,99.62%,98.17%,0.14%,0.25%,0.14%,0.25%
3,2-<3 mo,"3,200",24,146,99.25%,96.97%,99.76%,99.27%,99.49%,97.67%,0.15%,0.29%,0.15%,0.29%
4,3-<4 mo,"3,030",21,143,99.29%,96.30%,99.76%,99.04%,99.53%,97.22%,0.15%,0.32%,0.16%,0.33%
5,4-<5 mo,"2,866",24,153,99.17%,95.51%,99.76%,98.80%,99.40%,96.65%,0.17%,0.35%,0.17%,0.36%
6,5-<6 mo,"2,689",13,146,99.53%,95.07%,99.77%,98.57%,99.75%,96.41%,0.13%,0.37%,0.13%,0.38%
7,6-<7 mo,"2,530",11,169,99.56%,94.66%,99.77%,98.34%,99.79%,96.22%,0.13%,0.39%,0.13%,0.40%
8,7-<8 mo,"2,350",9,145,99.61%,94.30%,99.77%,98.12%,99.83%,96.06%,0.13%,0.41%,0.13%,0.42%
9,8-<9 mo,"2,196",10,155,99.53%,93.87%,99.77%,97.89%,99.76%,95.85%,0.15%,0.43%,0.15%,0.44%
10,9-<10 mo,"2,031",3,144,99.85%,93.74%,99.77%,97.67%,100.00%,95.85%,0.09%,0.43%,0.09%,0.44%
11,10-<11 mo,"1,884",8,183,99.56%,93.34%,99.77%,97.45%,99.77%,95.68%,0.16%,0.45%,0.16%,0.47%
12,11-<12 mo,"1,693",3,142,99.82%,93.18%,99.77%,97.23%,99.98%,95.67%,0.10%,0.46%,0.10%,0.47%
13,12-<13 mo,"1,548",3,115,99.81%,93.00%,99.75%,96.99%,99.98%,95.65%,0.11%,0.47%,0.11%,0.48%
14,13-<14 mo,"1,430",7,143,99.49%,92.55%,99.75%,96.76%,99.72%,95.50%,0.19%,0.50%,0.19%,0.52%
15,14-<15 mo,"1,280",4,127,99.66%,92.25%,99.75%,96.52%,99.87%,95.45%,0.17%,0.52%,0.17%,0.54%
16,15-<16 mo,"1,149",1,121,99.91%,92.17%,99.76%,96.29%,100.00%,95.45%,0.09%,0.52%,0.09%,0.54%
17,16-<17 mo,"1,027",0,130,100.00%,92.17%,99.75%,96.06%,100.00%,95.45%,0.00%,0.52%,0.00%,0.54%
18,17-<18 mo,897,0,129,100.00%,92.17%,99.75%,95.83%,100.00%,95.45%,0.00%,0.52%,0.00%,0.54%
19,18-<19 mo,768,3,129,99.58%,91.81%,99.75%,95.60%,99.77%,95.45%,0.24%,0.56%,0.24%,0.54%
20,19-<20 mo,636,3,136,99.48%,91.37%,99.76%,95.37%,99.67%,95.39%,0.30%,0.61%,0.30%,0.66%
21,20-<21 mo,497,1,130,99.73%,91.10%,99.76%,95.15%,99.74%,95.21%,0.27%,0.66%,0.27%,0.71%
22,21-<22 mo,366,0,113,100.00%,91.10%,99.75%,94.92%,100.00%,95.21%,0.00%,0.66%,0.00%,0.71%
23,22-<23 mo,253,0,127,100.00%,91.10%,99.75%,94.69%,100.00%,95.21%,0.00%,0.66%,0.00%,0.71%
24,23-<24 mo,126,0,126,+,+,99.74%,94.45%,+,+,+,+,+,+
