Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,536",61,116,98.25%,98.25%,99.74%,99.74%,98.50%,98.50%,0.22%,0.22%,0.22%,0.22%
2,1-<2 mo,"3,359",21,138,99.36%,97.62%,99.75%,99.49%,99.61%,98.12%,0.14%,0.26%,0.14%,0.26%
3,2-<3 mo,"3,200",24,146,99.23%,96.87%,99.75%,99.25%,99.48%,97.61%,0.16%,0.30%,0.16%,0.30%
4,3-<4 mo,"3,030",21,143,99.29%,96.18%,99.75%,99.00%,99.54%,97.15%,0.15%,0.33%,0.15%,0.34%
5,4-<5 mo,"2,866",24,153,99.14%,95.35%,99.76%,98.76%,99.38%,96.55%,0.17%,0.37%,0.18%,0.38%
6,5-<6 mo,"2,689",13,146,99.50%,94.88%,99.76%,98.52%,99.74%,96.30%,0.14%,0.39%,0.14%,0.40%
7,6-<7 mo,"2,530",11,169,99.55%,94.45%,99.76%,98.29%,99.79%,96.10%,0.14%,0.41%,0.14%,0.42%
8,7-<8 mo,"2,350",9,145,99.60%,94.08%,99.76%,98.06%,99.84%,95.95%,0.13%,0.43%,0.13%,0.44%
9,8-<9 mo,"2,196",10,155,99.53%,93.64%,99.77%,97.83%,99.76%,95.72%,0.15%,0.45%,0.15%,0.46%
10,9-<10 mo,"2,031",3,144,99.85%,93.49%,99.77%,97.60%,100.0000%*,95.7172%#,0.09%,0.45%,0.09%,0.4573%#
11,10-<11 mo,"1,884",8,183,99.55%,93.08%,99.77%,97.37%,99.78%,95.59%,0.16%,0.48%,0.16%,0.49%
12,11-<12 mo,"1,693",3,142,99.82%,92.90%,99.77%,97.15%,100.0000%*,95.5859%#,0.11%,0.49%,0.11%,0.4884%#
13,12-<13 mo,"1,548",3,115,99.80%,92.72%,99.75%,96.91%,100.0000%*,95.5859%#,0.12%,0.50%,0.12%,0.4884%#
14,13-<14 mo,"1,430",7,143,99.48%,92.24%,99.75%,96.67%,99.73%,95.42%,0.19%,0.53%,0.19%,0.54%
15,14-<15 mo,"1,280",4,127,99.67%,91.94%,99.75%,96.43%,99.92%,95.34%,0.16%,0.54%,0.16%,0.57%
16,15-<16 mo,"1,149",1,121,99.91%,91.85%,99.75%,96.19%,100.0000%*,95.3417%#,0.09%,0.55%,0.09%,0.5651%#
17,16-<17 mo,"1,027",0,130,100.00%,91.85%,99.75%,95.95%,100.0000%*,95.3417%#,0.00%,0.55%,0.00%,0.5651%#
18,17-<18 mo,897,0,129,100.00%,91.85%,99.75%,95.71%,100.0000%*,95.3417%#,0.00%,0.55%,0.00%,0.5651%#
19,18-<19 mo,768,3,129,99.57%,91.46%,99.75%,95.47%,99.82%,95.3417%#,0.25%,0.59%,0.25%,0.5651%#
20,19-<20 mo,636,3,136,99.47%,90.98%,99.76%,95.24%,99.71%,95.3417%#,0.30%,0.65%,0.30%,0.5651%#
21,20-<21 mo,497,1,130,99.77%,90.77%,99.76%,95.01%,100.0000%*,95.3417%#,0.23%,0.68%,0.23%,0.5651%#
22,21-<22 mo,366,0,113,100.00%,90.77%,99.74%,94.76%,100.0000%*,95.3417%#,0.00%,0.68%,0.00%,0.5651%#
23,22-<23 mo,253,0,127,100.00%,90.77%,99.73%,94.51%,100.0000%*,95.3417%#,0.00%,0.68%,0.00%,0.5651%#
24,23-<24 mo,126,0,126,+,+,99.72%,94.24%,+,+,+,+,+,+
