Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"20,630",143,758,99.29%,99.29%,99.89%,99.89%,99.40%,99.40%,0.06%,0.06%,0.06%,0.06%
2,1-<2 mo,"19,729",137,912,99.29%,98.59%,99.89%,99.78%,99.40%,98.80%,0.06%,0.08%,0.06%,0.08%
3,2-<3 mo,"18,680",122,"1,006",99.33%,97.93%,99.89%,99.67%,99.44%,98.25%,0.06%,0.10%,0.06%,0.10%
4,3-<4 mo,"17,552",107,893,99.37%,97.31%,99.89%,99.57%,99.48%,97.74%,0.06%,0.12%,0.06%,0.12%
5,4-<5 mo,"16,552",76,944,99.53%,96.85%,99.89%,99.46%,99.63%,97.38%,0.05%,0.13%,0.05%,0.13%
6,5-<6 mo,"15,532",81,889,99.46%,96.33%,99.89%,99.35%,99.57%,96.96%,0.06%,0.14%,0.06%,0.14%
7,6-<7 mo,"14,562",80,887,99.43%,95.79%,99.89%,99.25%,99.54%,96.51%,0.06%,0.15%,0.06%,0.15%
8,7-<8 mo,"13,595",86,856,99.35%,95.16%,99.89%,99.15%,99.45%,95.98%,0.07%,0.17%,0.07%,0.17%
9,8-<9 mo,"12,653",75,898,99.39%,94.58%,99.89%,99.04%,99.49%,95.49%,0.07%,0.18%,0.07%,0.18%
10,9-<10 mo,"11,680",58,819,99.49%,94.09%,99.90%,98.94%,99.59%,95.10%,0.07%,0.19%,0.07%,0.19%
11,10-<11 mo,"10,803",44,805,99.58%,93.69%,99.89%,98.83%,99.68%,94.80%,0.06%,0.20%,0.06%,0.20%
12,11-<12 mo,"9,954",51,781,99.47%,93.19%,99.89%,98.73%,99.57%,94.39%,0.07%,0.21%,0.07%,0.21%
13,12-<13 mo,"9,122",47,706,99.46%,92.69%,99.88%,98.61%,99.58%,94.00%,0.08%,0.22%,0.08%,0.22%
14,13-<14 mo,"8,369",39,883,99.51%,92.24%,99.88%,98.50%,99.62%,93.64%,0.08%,0.23%,0.08%,0.23%
15,14-<15 mo,"7,447",24,781,99.66%,91.92%,99.88%,98.38%,99.78%,93.43%,0.07%,0.24%,0.07%,0.24%
16,15-<16 mo,"6,642",32,723,99.49%,91.46%,99.88%,98.27%,99.61%,93.06%,0.09%,0.25%,0.09%,0.25%
17,16-<17 mo,"5,887",27,798,99.51%,91.01%,99.88%,98.16%,99.62%,92.71%,0.09%,0.26%,0.09%,0.27%
18,17-<18 mo,"5,062",20,691,99.58%,90.62%,99.88%,98.04%,99.69%,92.43%,0.09%,0.28%,0.09%,0.28%
19,18-<19 mo,"4,351",24,763,99.40%,90.07%,99.88%,97.93%,99.51%,91.98%,0.12%,0.30%,0.12%,0.30%
20,19-<20 mo,"3,564",10,718,99.69%,89.79%,99.88%,97.82%,99.80%,91.79%,0.10%,0.31%,0.10%,0.32%
21,20-<21 mo,"2,836",14,779,99.43%,89.28%,99.89%,97.71%,99.54%,91.37%,0.15%,0.34%,0.15%,0.34%
22,21-<22 mo,"2,043",4,644,99.77%,89.07%,99.89%,97.59%,99.88%,91.26%,0.12%,0.35%,0.12%,0.36%
23,22-<23 mo,"1,395",5,805,99.50%,88.62%,99.88%,97.48%,99.61%,90.91%,0.22%,0.40%,0.23%,0.41%
24,23-<24 mo,585,0,585,+,+,99.87%,97.36%,+,+,+,+,+,+
