Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"17,058",84,782,99.50%,99.50%,99.94%,99.94%,99.56%,99.56%,0.05%,0.05%,0.05%,0.05%
2,1-<2 mo,"16,192",68,753,99.57%,99.07%,99.94%,99.87%,99.63%,99.19%,0.05%,0.08%,0.05%,0.08%
3,2-<3 mo,"15,371",42,849,99.72%,98.79%,99.94%,99.81%,99.78%,98.98%,0.04%,0.09%,0.04%,0.09%
4,3-<4 mo,"14,480",28,735,99.80%,98.59%,99.94%,99.75%,99.86%,98.84%,0.04%,0.09%,0.04%,0.09%
5,4-<5 mo,"13,717",26,811,99.80%,98.40%,99.94%,99.69%,99.87%,98.71%,0.04%,0.10%,0.04%,0.10%
6,5-<6 mo,"12,880",29,706,99.77%,98.17%,99.94%,99.63%,99.83%,98.54%,0.04%,0.11%,0.04%,0.11%
7,6-<7 mo,"12,145",20,759,99.83%,98.01%,99.94%,99.57%,99.89%,98.43%,0.04%,0.12%,0.04%,0.12%
8,7-<8 mo,"11,366",17,672,99.85%,97.86%,99.94%,99.51%,99.91%,98.34%,0.04%,0.12%,0.04%,0.12%
9,8-<9 mo,"10,677",17,690,99.84%,97.69%,99.94%,99.45%,99.89%,98.23%,0.04%,0.13%,0.04%,0.13%
10,9-<10 mo,"9,970",12,714,99.88%,97.57%,99.94%,99.39%,99.93%,98.17%,0.04%,0.13%,0.04%,0.13%
11,10-<11 mo,"9,244",21,696,99.76%,97.34%,99.94%,99.33%,99.82%,98.00%,0.05%,0.14%,0.05%,0.14%
12,11-<12 mo,"8,527",10,651,99.88%,97.22%,99.94%,99.27%,99.94%,97.94%,0.04%,0.15%,0.04%,0.15%
13,12-<13 mo,"7,866",9,667,99.88%,97.11%,99.93%,99.21%,99.95%,97.88%,0.04%,0.15%,0.04%,0.15%
14,13-<14 mo,"7,190",6,733,99.91%,97.02%,99.93%,99.14%,99.98%,97.86%,0.04%,0.15%,0.04%,0.16%
15,14-<15 mo,"6,451",9,682,99.85%,96.88%,99.93%,99.08%,99.92%,97.78%,0.05%,0.16%,0.05%,0.16%
16,15-<16 mo,"5,760",3,602,99.95%,96.83%,99.93%,99.01%,100.0000%*,97.7822%#,0.03%,0.16%,0.03%,0.1624%#
17,16-<17 mo,"5,155",7,722,99.85%,96.68%,99.93%,98.94%,99.92%,97.72%,0.06%,0.17%,0.06%,0.17%
18,17-<18 mo,"4,426",4,674,99.90%,96.59%,99.94%,98.88%,99.97%,97.68%,0.05%,0.18%,0.05%,0.18%
19,18-<19 mo,"3,748",2,629,99.94%,96.53%,99.94%,98.82%,100.0000%*,97.6837%#,0.04%,0.18%,0.04%,0.1802%#
20,19-<20 mo,"3,117",2,634,99.93%,96.46%,99.94%,98.75%,99.99%,97.68%,0.05%,0.19%,0.05%,0.19%
21,20-<21 mo,"2,481",0,655,100.00%,96.46%,99.94%,98.69%,100.0000%*,97.6829%#,0.00%,0.19%,0.00%,0.1911%#
22,21-<22 mo,"1,826",2,581,99.87%,96.34%,99.94%,98.63%,99.93%,97.68%,0.09%,0.21%,0.09%,0.21%
23,22-<23 mo,"1,243",1,655,99.89%,96.23%,99.94%,98.57%,99.95%,97.63%,0.11%,0.23%,0.11%,0.24%
24,23-<24 mo,587,1,586,+,+,99.94%,98.51%,+,+,+,+,+,+
