Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,330,22,10,93.23%,93.23%,99.92%,99.92%,93.30%,93.30%,1.39%,1.39%,1.39%,1.39%
2,1-<2 mo,298,10,8,96.60%,90.06%,99.92%,99.84%,96.68%,90.20%,1.06%,1.67%,1.06%,1.67%
3,2-<3 mo,280,9,10,96.73%,87.11%,99.92%,99.76%,96.81%,87.33%,1.07%,1.88%,1.07%,1.89%
4,3-<4 mo,261,3,13,98.82%,86.09%,99.91%,99.67%,98.91%,86.37%,0.68%,1.95%,0.68%,1.96%
5,4-<5 mo,245,4,13,98.32%,84.64%,99.91%,99.58%,98.41%,85.00%,0.83%,2.05%,0.83%,2.06%
6,5-<6 mo,228,3,5,98.67%,83.52%,99.91%,99.49%,98.76%,83.94%,0.76%,2.12%,0.76%,2.13%
7,6-<7 mo,220,2,10,99.07%,82.74%,99.91%,99.40%,99.16%,83.24%,0.65%,2.17%,0.66%,2.18%
8,7-<8 mo,208,3,14,98.51%,81.50%,99.91%,99.31%,98.60%,82.07%,0.86%,2.25%,0.86%,2.27%
9,8-<9 mo,191,1,17,99.45%,81.06%,99.90%,99.21%,99.55%,81.70%,0.55%,2.28%,0.55%,2.30%
10,9-<10 mo,173,1,16,99.39%,80.57%,99.90%,99.12%,99.49%,81.28%,0.60%,2.32%,0.60%,2.34%
11,10-<11 mo,156,1,13,99.33%,80.03%,99.91%,99.03%,99.42%,80.81%,0.67%,2.37%,0.67%,2.39%
12,11-<12 mo,142,0,16,100.00%,80.03%,99.91%,98.94%,100.0000%*,80.8112%#,0.00%,2.37%,0.00%,2.3913%#
13,12-<13 mo,126,1,8,99.18%,79.37%,99.90%,98.85%,99.28%,80.30%,0.82%,2.44%,0.82%,2.47%
14,13-<14 mo,117,0,13,100.00%,79.37%,99.90%,98.75%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
15,14-<15 mo,104,0,9,100.00%,79.37%,99.89%,98.64%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
16,15-<16 mo,95,0,5,100.00%,79.37%,99.90%,98.54%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
17,16-<17 mo,90,0,14,100.00%,79.37%,99.90%,98.44%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
18,17-<18 mo,76,0,12,100.00%,79.37%,99.90%,98.34%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
19,18-<19 mo,64,0,8,100.00%,79.37%,99.91%,98.24%,100.0000%*,80.2964%#,0.00%,2.44%,0.00%,2.4663%#
20,19-<20 mo,56,1,17,97.89%,77.70%,99.91%,98.16%,97.98%,79.16%,2.08%,2.90%,2.08%,2.96%
21,20-<21 mo,38,1,13,96.83%,75.23%,99.90%,98.06%,96.92%,76.72%,3.12%,3.71%,3.13%,3.79%
22,21-<22 mo,24,0,12,100.00%,75.23%,99.89%,97.95%,100.0000%*,76.7217%#,0.00%,3.71%,0.00%,3.7874%#
23,22-<23 mo,12,0,6,100.00%,75.23%,99.84%,97.79%,100.0000%*,76.7217%#,0.00%,3.71%,0.00%,3.7874%#
24,23-<24 mo,6,0,6,+,+,99.71%,97.51%,+,+,+,+,+,+
