Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"10,467","1,099",371,89.31%,89.31%,99.82%,99.82%,89.48%,89.48%,0.30%,0.30%,0.31%,0.31%
2,1-<2 mo,"8,997",739,320,91.64%,81.84%,99.82%,99.64%,91.80%,82.14%,0.29%,0.38%,0.30%,0.39%
3,2-<3 mo,"7,938",500,388,93.54%,76.56%,99.83%,99.47%,93.70%,76.97%,0.28%,0.43%,0.28%,0.43%
4,3-<4 mo,"7,050",376,294,94.55%,72.39%,99.83%,99.31%,94.71%,72.89%,0.27%,0.45%,0.27%,0.46%
5,4-<5 mo,"6,380",299,344,95.18%,68.90%,99.83%,99.14%,95.34%,69.50%,0.27%,0.47%,0.27%,0.48%
6,5-<6 mo,"5,737",240,323,95.70%,65.94%,99.84%,98.98%,95.85%,66.62%,0.27%,0.49%,0.27%,0.50%
7,6-<7 mo,"5,174",198,277,96.07%,63.34%,99.84%,98.82%,96.22%,64.10%,0.27%,0.51%,0.27%,0.51%
8,7-<8 mo,"4,699",169,291,96.29%,60.99%,99.84%,98.66%,96.44%,61.82%,0.28%,0.52%,0.28%,0.52%
9,8-<9 mo,"4,239",156,310,96.18%,58.66%,99.84%,98.50%,96.33%,59.55%,0.30%,0.53%,0.30%,0.54%
10,9-<10 mo,"3,773",122,275,96.64%,56.69%,99.84%,98.35%,96.80%,57.65%,0.30%,0.54%,0.30%,0.55%
11,10-<11 mo,"3,376",100,281,96.91%,54.94%,99.85%,98.20%,97.06%,55.95%,0.30%,0.55%,0.30%,0.56%
12,11-<12 mo,"2,995",104,230,96.39%,52.96%,99.85%,98.05%,96.54%,54.01%,0.35%,0.57%,0.35%,0.58%
13,12-<13 mo,"2,661",93,178,96.38%,51.04%,99.83%,97.88%,96.54%,52.15%,0.37%,0.58%,0.37%,0.59%
14,13-<14 mo,"2,390",65,221,97.15%,49.59%,99.84%,97.72%,97.31%,50.74%,0.35%,0.59%,0.35%,0.60%
15,14-<15 mo,"2,104",55,217,97.24%,48.22%,99.84%,97.56%,97.40%,49.42%,0.37%,0.60%,0.37%,0.62%
16,15-<16 mo,"1,832",59,188,96.61%,46.58%,99.84%,97.41%,96.76%,47.82%,0.43%,0.62%,0.44%,0.63%
17,16-<17 mo,"1,585",38,223,97.42%,45.38%,99.84%,97.25%,97.58%,46.66%,0.41%,0.63%,0.41%,0.65%
18,17-<18 mo,"1,324",23,195,98.12%,44.53%,99.84%,97.10%,98.28%,45.86%,0.39%,0.64%,0.39%,0.66%
19,18-<19 mo,"1,106",29,164,97.17%,43.27%,99.84%,96.94%,97.32%,44.64%,0.52%,0.67%,0.52%,0.69%
20,19-<20 mo,913,22,189,97.31%,42.11%,99.84%,96.78%,97.47%,43.51%,0.57%,0.69%,0.57%,0.72%
21,20-<21 mo,702,11,190,98.19%,41.34%,99.84%,96.63%,98.34%,42.78%,0.54%,0.72%,0.54%,0.74%
22,21-<22 mo,501,10,173,97.59%,40.35%,99.84%,96.48%,97.74%,41.82%,0.75%,0.77%,0.75%,0.80%
23,22-<23 mo,318,2,166,99.15%,40.00%,99.85%,96.33%,99.30%,41.53%,0.60%,0.80%,0.60%,0.83%
24,23-<24 mo,150,1,149,+,+,99.84%,96.18%,+,+,+,+,+,+
