Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"8,739",926,298,88.60%,88.60%,99.79%,99.79%,88.78%,88.78%,0.37%,0.37%,0.37%,0.37%
2,1-<2 mo,"7,515",586,262,91.97%,81.49%,99.80%,99.60%,92.15%,81.81%,0.34%,0.45%,0.34%,0.45%
3,2-<3 mo,"6,667",391,329,93.69%,76.37%,99.80%,99.40%,93.87%,76.82%,0.33%,0.49%,0.33%,0.50%
4,3-<4 mo,"5,947",288,243,95.17%,72.67%,99.81%,99.21%,95.35%,73.24%,0.30%,0.52%,0.30%,0.53%
5,4-<5 mo,"5,416",242,292,95.41%,69.34%,99.81%,99.03%,95.59%,70.01%,0.31%,0.54%,0.31%,0.55%
6,5-<6 mo,"4,882",188,276,95.82%,66.46%,99.81%,98.84%,96.00%,67.22%,0.32%,0.56%,0.32%,0.57%
7,6-<7 mo,"4,418",159,226,96.31%,64.02%,99.81%,98.66%,96.49%,64.87%,0.31%,0.58%,0.31%,0.59%
8,7-<8 mo,"4,033",139,241,96.09%,61.54%,99.81%,98.47%,96.27%,62.46%,0.34%,0.59%,0.34%,0.61%
9,8-<9 mo,"3,653",124,277,96.40%,59.32%,99.81%,98.29%,96.59%,60.33%,0.34%,0.61%,0.34%,0.62%
10,9-<10 mo,"3,252",99,226,96.61%,57.33%,99.81%,98.11%,96.79%,58.41%,0.36%,0.62%,0.36%,0.64%
11,10-<11 mo,"2,927",85,244,96.80%,55.50%,99.82%,97.93%,96.97%,56.64%,0.36%,0.64%,0.36%,0.65%
12,11-<12 mo,"2,598",69,206,96.82%,53.79%,99.82%,97.75%,97.00%,54.98%,0.40%,0.65%,0.40%,0.67%
13,12-<13 mo,"2,323",72,152,96.94%,52.13%,99.80%,97.56%,97.13%,53.39%,0.39%,0.66%,0.39%,0.68%
14,13-<14 mo,"2,099",54,198,97.23%,50.70%,99.81%,97.37%,97.42%,52.01%,0.40%,0.67%,0.40%,0.70%
15,14-<15 mo,"1,847",44,190,97.24%,49.32%,99.81%,97.19%,97.43%,50.69%,0.44%,0.69%,0.44%,0.71%
16,15-<16 mo,"1,613",46,160,96.69%,47.70%,99.81%,97.00%,96.87%,49.12%,0.51%,0.71%,0.51%,0.73%
17,16-<17 mo,"1,407",29,200,97.72%,46.62%,99.81%,96.82%,97.91%,48.09%,0.45%,0.72%,0.45%,0.75%
18,17-<18 mo,"1,178",19,176,98.28%,45.82%,99.82%,96.65%,98.46%,47.35%,0.43%,0.74%,0.43%,0.77%
19,18-<19 mo,983,24,147,97.29%,44.59%,99.81%,96.47%,97.47%,46.16%,0.59%,0.76%,0.59%,0.79%
20,19-<20 mo,812,18,175,97.06%,43.31%,99.81%,96.29%,97.24%,44.91%,0.71%,0.80%,0.71%,0.83%
21,20-<21 mo,619,10,169,97.78%,42.39%,99.82%,96.12%,97.95%,44.02%,0.74%,0.83%,0.74%,0.87%
22,21-<22 mo,440,6,150,98.61%,41.78%,99.81%,95.94%,98.80%,43.47%,0.62%,0.86%,0.62%,0.91%
23,22-<23 mo,284,2,150,99.45%,41.52%,99.82%,95.77%,99.48%,43.22%,0.39%,0.88%,0.39%,0.92%
24,23-<24 mo,132,1,131,+,+,99.82%,95.60%,+,+,+,+,+,+
