Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"50,028","4,659","1,906",90.90%,90.90%,99.78%,99.78%,91.10%,91.10%,0.13%,0.13%,0.13%,0.13%
2,1-<2 mo,"43,463","3,527","1,681",91.93%,83.60%,99.79%,99.57%,92.13%,83.96%,0.13%,0.17%,0.13%,0.17%
3,2-<3 mo,"38,255","2,272","1,918",94.02%,78.64%,99.79%,99.36%,94.22%,79.13%,0.12%,0.19%,0.12%,0.19%
4,3-<4 mo,"34,065","1,629","1,537",95.17%,74.87%,99.80%,99.16%,95.37%,75.48%,0.12%,0.20%,0.12%,0.21%
5,4-<5 mo,"30,899","1,279","1,632",95.77%,71.73%,99.80%,98.96%,95.97%,72.45%,0.12%,0.22%,0.12%,0.22%
6,5-<6 mo,"27,988","1,030","1,508",96.26%,69.06%,99.80%,98.77%,96.45%,69.89%,0.12%,0.22%,0.12%,0.23%
7,6-<7 mo,"25,450",898,"1,441",96.37%,66.57%,99.80%,98.57%,96.56%,67.49%,0.12%,0.23%,0.12%,0.23%
8,7-<8 mo,"23,111",767,"1,462",96.62%,64.34%,99.80%,98.38%,96.82%,65.36%,0.12%,0.24%,0.12%,0.24%
9,8-<9 mo,"20,882",680,"1,456",96.64%,62.19%,99.80%,98.19%,96.83%,63.28%,0.13%,0.25%,0.13%,0.25%
10,9-<10 mo,"18,746",584,"1,335",96.78%,60.20%,99.81%,98.00%,96.97%,61.37%,0.13%,0.25%,0.13%,0.26%
11,10-<11 mo,"16,827",477,"1,301",97.05%,58.42%,99.81%,97.81%,97.24%,59.67%,0.14%,0.26%,0.14%,0.26%
12,11-<12 mo,"15,049",446,"1,230",96.93%,56.65%,99.81%,97.62%,97.12%,57.96%,0.15%,0.26%,0.15%,0.27%
13,12-<13 mo,"13,373",354,974,97.22%,55.08%,99.79%,97.42%,97.43%,56.47%,0.15%,0.27%,0.15%,0.28%
14,13-<14 mo,"12,045",324,"1,131",97.24%,53.58%,99.79%,97.21%,97.44%,55.04%,0.15%,0.28%,0.15%,0.28%
15,14-<15 mo,"10,590",220,"1,074",97.77%,52.39%,99.79%,97.01%,97.98%,53.92%,0.15%,0.28%,0.15%,0.29%
16,15-<16 mo,"9,296",203,946,97.68%,51.17%,99.79%,96.81%,97.88%,52.78%,0.16%,0.29%,0.16%,0.30%
17,16-<17 mo,"8,147",186,"1,096",97.55%,49.93%,99.79%,96.61%,97.76%,51.60%,0.18%,0.30%,0.18%,0.31%
18,17-<18 mo,"6,865",146,963,97.67%,48.78%,99.79%,96.41%,97.87%,50.51%,0.19%,0.31%,0.19%,0.32%
19,18-<19 mo,"5,756",123,961,97.69%,47.68%,99.79%,96.21%,97.90%,49.46%,0.21%,0.32%,0.21%,0.33%
20,19-<20 mo,"4,672",93,887,97.85%,46.65%,99.79%,96.01%,98.06%,48.49%,0.22%,0.33%,0.23%,0.34%
21,20-<21 mo,"3,692",85,975,97.37%,45.45%,99.79%,95.81%,97.58%,47.33%,0.29%,0.35%,0.29%,0.36%
22,21-<22 mo,"2,632",41,889,98.19%,44.64%,99.79%,95.61%,98.40%,46.58%,0.28%,0.36%,0.29%,0.38%
23,22-<23 mo,"1,702",20,919,98.30%,43.86%,99.79%,95.42%,98.50%,45.86%,0.38%,0.40%,0.39%,0.42%
24,23-<24 mo,763,4,759,+,+,99.80%,95.23%,+,+,+,+,+,+
