Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"61,671",233,"2,435",99.54%,99.54%,99.79%,99.79%,99.75%,99.75%,0.03%,0.03%,0.03%,0.03%
2,1-<2 mo,"59,003",175,"2,411",99.63%,99.17%,99.79%,99.58%,99.84%,99.59%,0.03%,0.04%,0.03%,0.04%
3,2-<3 mo,"56,417",139,"2,968",99.71%,98.88%,99.79%,99.37%,99.92%,99.51%,0.03%,0.05%,0.03%,0.05%
4,3-<4 mo,"53,310",138,"2,610",99.69%,98.58%,99.79%,99.16%,99.90%,99.41%,0.03%,0.06%,0.03%,0.06%
5,4-<5 mo,"50,562",115,"2,706",99.73%,98.32%,99.79%,98.95%,99.94%,99.35%,0.03%,0.06%,0.03%,0.06%
6,5-<6 mo,"47,741",108,"2,567",99.73%,98.06%,99.79%,98.75%,99.94%,99.30%,0.03%,0.07%,0.03%,0.07%
7,6-<7 mo,"45,066",114,"2,697",99.70%,97.77%,99.79%,98.54%,99.91%,99.21%,0.03%,0.07%,0.03%,0.07%
8,7-<8 mo,"42,255",86,"2,638",99.76%,97.53%,99.79%,98.34%,99.97%,99.17%,0.03%,0.08%,0.03%,0.08%
9,8-<9 mo,"39,531",83,"2,855",99.74%,97.28%,99.79%,98.14%,99.94%,99.11%,0.03%,0.08%,0.03%,0.08%
10,9-<10 mo,"36,593",84,"2,659",99.72%,97.01%,99.79%,97.94%,99.92%,99.03%,0.03%,0.09%,0.03%,0.09%
11,10-<11 mo,"33,850",78,"2,715",99.72%,96.74%,99.79%,97.73%,99.93%,98.96%,0.03%,0.09%,0.03%,0.09%
12,11-<12 mo,"31,057",82,"2,586",99.69%,96.44%,99.79%,97.53%,99.89%,98.87%,0.04%,0.10%,0.04%,0.10%
13,12-<13 mo,"28,389",75,"2,185",99.68%,96.14%,99.77%,97.32%,99.91%,98.78%,0.04%,0.10%,0.04%,0.11%
14,13-<14 mo,"26,129",77,"2,496",99.64%,95.80%,99.78%,97.10%,99.87%,98.64%,0.04%,0.11%,0.04%,0.11%
15,14-<15 mo,"23,556",58,"2,573",99.69%,95.50%,99.78%,96.89%,99.91%,98.55%,0.04%,0.12%,0.04%,0.12%
16,15-<16 mo,"20,925",41,"2,141",99.76%,95.27%,99.78%,96.67%,99.97%,98.52%,0.04%,0.12%,0.04%,0.13%
17,16-<17 mo,"18,743",43,"2,512",99.70%,95.00%,99.78%,96.46%,99.92%,98.45%,0.05%,0.13%,0.05%,0.13%
18,17-<18 mo,"16,188",45,"2,216",99.66%,94.68%,99.78%,96.25%,99.88%,98.35%,0.05%,0.14%,0.05%,0.15%
19,18-<19 mo,"13,927",37,"2,334",99.66%,94.36%,99.78%,96.04%,99.88%,98.23%,0.06%,0.15%,0.06%,0.15%
20,19-<20 mo,"11,556",28,"2,211",99.74%,94.12%,99.78%,95.83%,99.94%,98.18%,0.05%,0.15%,0.05%,0.16%
21,20-<21 mo,"9,317",23,"2,390",99.64%,93.80%,99.78%,95.62%,99.86%,98.06%,0.08%,0.17%,0.08%,0.18%
22,21-<22 mo,"6,904",17,"2,294",99.72%,93.53%,99.78%,95.41%,99.92%,97.99%,0.07%,0.18%,0.07%,0.19%
23,22-<23 mo,"4,593",6,"2,452",99.77%,93.32%,99.77%,95.20%,99.96%,97.95%,0.10%,0.20%,0.10%,0.21%
24,23-<24 mo,"2,135",4,"2,131",+,+,99.77%,94.99%,+,+,+,+,+,+
