Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"16,295",77,575,99.45%,99.45%,99.76%,99.76%,99.69%,99.69%,0.06%,0.06%,0.06%,0.06%
2,1-<2 mo,"15,643",94,741,99.28%,98.74%,99.76%,99.53%,99.52%,99.21%,0.08%,0.10%,0.08%,0.10%
3,2-<3 mo,"14,808",66,777,99.47%,98.22%,99.76%,99.29%,99.71%,98.92%,0.07%,0.12%,0.07%,0.12%
4,3-<4 mo,"13,965",70,734,99.39%,97.62%,99.76%,99.06%,99.62%,98.55%,0.07%,0.14%,0.07%,0.14%
5,4-<5 mo,"13,161",57,740,99.49%,97.13%,99.77%,98.83%,99.73%,98.28%,0.07%,0.15%,0.07%,0.16%
6,5-<6 mo,"12,364",37,704,99.65%,96.79%,99.77%,98.60%,99.89%,98.17%,0.06%,0.16%,0.06%,0.17%
7,6-<7 mo,"11,623",46,700,99.52%,96.33%,99.77%,98.37%,99.75%,97.92%,0.07%,0.18%,0.07%,0.18%
8,7-<8 mo,"10,877",37,686,99.61%,95.96%,99.77%,98.14%,99.85%,97.77%,0.07%,0.19%,0.07%,0.19%
9,8-<9 mo,"10,154",54,719,99.35%,95.34%,99.77%,97.92%,99.58%,97.36%,0.09%,0.20%,0.09%,0.21%
10,9-<10 mo,"9,381",29,657,99.62%,94.98%,99.77%,97.70%,99.85%,97.22%,0.07%,0.21%,0.07%,0.22%
11,10-<11 mo,"8,695",30,615,99.59%,94.60%,99.77%,97.47%,99.81%,97.03%,0.08%,0.22%,0.08%,0.23%
12,11-<12 mo,"8,050",17,614,99.77%,94.38%,99.77%,97.25%,99.92%,96.97%,0.06%,0.23%,0.06%,0.24%
13,12-<13 mo,"7,419",27,549,99.54%,93.95%,99.74%,97.00%,99.79%,96.85%,0.09%,0.24%,0.09%,0.26%
14,13-<14 mo,"6,843",21,626,99.61%,93.59%,99.74%,96.76%,99.86%,96.72%,0.09%,0.26%,0.09%,0.27%
15,14-<15 mo,"6,196",16,591,99.64%,93.26%,99.74%,96.52%,99.90%,96.62%,0.09%,0.27%,0.09%,0.28%
16,15-<16 mo,"5,589",21,585,99.54%,92.84%,99.74%,96.28%,99.80%,96.42%,0.10%,0.28%,0.11%,0.30%
17,16-<17 mo,"4,983",16,705,99.62%,92.49%,99.74%,96.04%,99.87%,96.30%,0.10%,0.30%,0.10%,0.31%
18,17-<18 mo,"4,262",13,685,99.58%,92.11%,99.74%,95.80%,99.83%,96.14%,0.12%,0.31%,0.12%,0.33%
19,18-<19 mo,"3,564",9,678,99.67%,91.81%,99.75%,95.56%,99.89%,96.03%,0.12%,0.33%,0.12%,0.35%
20,19-<20 mo,"2,877",8,654,99.60%,91.46%,99.75%,95.33%,99.85%,95.92%,0.14%,0.35%,0.14%,0.38%
21,20-<21 mo,"2,215",4,604,99.82%,91.29%,99.75%,95.10%,99.87%,95.79%,0.09%,0.36%,0.09%,0.39%
22,21-<22 mo,"1,607",7,570,99.41%,90.76%,99.75%,94.87%,99.66%,95.58%,0.23%,0.41%,0.23%,0.41%
23,22-<23 mo,"1,030",2,565,99.61%,90.42%,99.75%,94.64%,99.82%,95.48%,0.27%,0.47%,0.28%,0.52%
24,23-<24 mo,463,0,463,+,+,99.76%,94.42%,+,+,+,+,+,+
