Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"18,110",901,675,94.93%,94.93%,99.79%,99.79%,95.13%,95.13%,0.16%,0.16%,0.16%,0.16%
2,1-<2 mo,"16,534",486,649,97.00%,92.08%,99.80%,99.60%,97.19%,92.46%,0.13%,0.20%,0.13%,0.20%
3,2-<3 mo,"15,399",330,774,97.80%,90.06%,99.81%,99.41%,97.99%,90.59%,0.12%,0.23%,0.12%,0.23%
4,3-<4 mo,"14,295",230,695,98.35%,88.57%,99.82%,99.23%,98.53%,89.26%,0.11%,0.24%,0.11%,0.25%
5,4-<5 mo,"13,370",183,726,98.59%,87.33%,99.82%,99.05%,98.77%,88.17%,0.10%,0.26%,0.10%,0.26%
6,5-<6 mo,"12,461",146,694,98.79%,86.28%,99.82%,98.88%,98.97%,87.26%,0.10%,0.27%,0.10%,0.27%
7,6-<7 mo,"11,621",135,717,98.80%,85.24%,99.83%,98.70%,98.97%,86.36%,0.10%,0.28%,0.10%,0.28%
8,7-<8 mo,"10,769",117,665,98.88%,84.29%,99.83%,98.53%,99.05%,85.54%,0.10%,0.29%,0.10%,0.29%
9,8-<9 mo,"9,987",78,690,99.19%,83.60%,99.83%,98.37%,99.36%,84.99%,0.09%,0.30%,0.09%,0.30%
10,9-<10 mo,"9,219",75,637,99.16%,82.90%,99.83%,98.20%,99.33%,84.42%,0.10%,0.31%,0.10%,0.31%
11,10-<11 mo,"8,507",73,597,99.11%,82.16%,99.83%,98.03%,99.28%,83.81%,0.10%,0.32%,0.10%,0.32%
12,11-<12 mo,"7,837",79,667,98.95%,81.30%,99.83%,97.87%,99.11%,83.07%,0.12%,0.33%,0.12%,0.33%
13,12-<13 mo,"7,091",54,530,99.21%,80.65%,99.82%,97.69%,99.39%,82.56%,0.11%,0.34%,0.11%,0.34%
14,13-<14 mo,"6,507",45,647,99.27%,80.07%,99.82%,97.52%,99.45%,82.11%,0.11%,0.34%,0.11%,0.35%
15,14-<15 mo,"5,815",33,665,99.40%,79.59%,99.82%,97.34%,99.58%,81.76%,0.10%,0.35%,0.10%,0.36%
16,15-<16 mo,"5,117",27,579,99.44%,79.14%,99.82%,97.17%,99.62%,81.45%,0.11%,0.36%,0.11%,0.37%
17,16-<17 mo,"4,511",20,661,99.52%,78.76%,99.83%,97.00%,99.69%,81.20%,0.11%,0.37%,0.11%,0.38%
18,17-<18 mo,"3,830",18,524,99.50%,78.36%,99.83%,96.84%,99.66%,80.92%,0.12%,0.38%,0.12%,0.39%
19,18-<19 mo,"3,288",13,531,99.57%,78.03%,99.83%,96.67%,99.74%,80.71%,0.12%,0.39%,0.12%,0.40%
20,19-<20 mo,"2,744",6,563,99.76%,77.84%,99.83%,96.51%,99.92%,80.65%,0.10%,0.40%,0.10%,0.41%
21,20-<21 mo,"2,175",3,579,99.84%,77.71%,99.83%,96.35%,100.0000%*,80.6505%#,0.09%,0.40%,0.09%,0.4097%#
22,21-<22 mo,"1,593",15,528,98.87%,76.84%,99.83%,96.19%,99.04%,79.88%,0.29%,0.46%,0.29%,0.47%
23,22-<23 mo,"1,050",7,579,99.08%,76.13%,99.84%,96.04%,99.24%,79.27%,0.35%,0.52%,0.35%,0.55%
24,23-<24 mo,464,1,463,+,+,99.85%,95.89%,+,+,+,+,+,+
