Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,790,17,26,97.81%,97.81%,99.85%,99.85%,97.96%,97.96%,0.52%,0.52%,0.53%,0.53%
2,1-<2 mo,747,20,36,97.26%,95.13%,99.85%,99.70%,97.40%,95.42%,0.61%,0.78%,0.61%,0.78%
3,2-<3 mo,691,19,29,97.19%,92.46%,99.85%,99.55%,97.33%,92.87%,0.64%,0.97%,0.64%,0.97%
4,3-<4 mo,643,13,27,97.93%,90.55%,99.86%,99.41%,98.08%,91.08%,0.57%,1.09%,0.57%,1.09%
5,4-<5 mo,603,16,43,97.25%,88.06%,99.86%,99.27%,97.39%,88.71%,0.68%,1.22%,0.68%,1.23%
6,5-<6 mo,544,4,37,99.24%,87.39%,99.86%,99.13%,99.38%,88.16%,0.38%,1.26%,0.38%,1.27%
7,6-<7 mo,503,9,30,98.16%,85.77%,99.86%,98.99%,98.29%,86.65%,0.61%,1.34%,0.61%,1.36%
8,7-<8 mo,464,11,25,97.56%,83.68%,99.86%,98.85%,97.70%,84.66%,0.73%,1.45%,0.73%,1.47%
9,8-<9 mo,428,9,27,97.83%,81.87%,99.86%,98.71%,97.97%,82.94%,0.72%,1.54%,0.72%,1.56%
10,9-<10 mo,392,6,30,98.41%,80.56%,99.87%,98.58%,98.54%,81.73%,0.64%,1.61%,0.65%,1.63%
11,10-<11 mo,356,7,27,97.96%,78.92%,99.87%,98.45%,98.09%,80.16%,0.76%,1.69%,0.77%,1.72%
12,11-<12 mo,322,3,23,99.03%,78.16%,99.87%,98.31%,99.17%,79.50%,0.56%,1.73%,0.56%,1.76%
13,12-<13 mo,296,6,21,97.90%,76.51%,99.85%,98.17%,98.04%,77.94%,0.85%,1.82%,0.85%,1.85%
14,13-<14 mo,269,2,15,99.24%,75.93%,99.86%,98.03%,99.37%,77.45%,0.54%,1.85%,0.54%,1.89%
15,14-<15 mo,252,0,27,100.00%,75.93%,99.86%,97.90%,100.0000%*,77.4505%#,0.00%,1.85%,0.00%,1.8880%#
16,15-<16 mo,225,4,24,98.12%,74.50%,99.86%,97.76%,98.26%,76.21%,0.93%,1.95%,0.93%,1.99%
17,16-<17 mo,197,3,38,98.31%,73.25%,99.86%,97.62%,98.45%,75.03%,0.96%,2.05%,0.97%,2.10%
18,17-<18 mo,156,2,19,98.63%,72.25%,99.86%,97.48%,98.77%,74.11%,0.96%,2.14%,0.96%,2.19%
19,18-<19 mo,135,0,19,100.00%,72.25%,99.87%,97.35%,100.0000%*,74.1141%#,0.00%,2.14%,0.00%,2.1921%#
20,19-<20 mo,116,2,12,98.18%,70.93%,99.89%,97.24%,98.29%,72.94%,1.27%,2.29%,1.28%,2.36%
21,20-<21 mo,102,1,30,98.85%,70.12%,99.89%,97.14%,98.95%,72.18%,1.14%,2.41%,1.14%,2.48%
22,21-<22 mo,71,0,22,100.00%,70.12%,99.89%,97.03%,100.0000%*,72.1801%#,0.00%,2.41%,0.00%,2.4762%#
23,22-<23 mo,49,0,26,100.00%,70.12%,99.89%,96.93%,100.0000%*,72.1801%#,0.00%,2.41%,0.00%,2.4762%#
24,23-<24 mo,23,0,23,+,+,99.89%,96.82%,+,+,+,+,+,+
