Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"1,511",69,62,94.85%,94.85%,99.83%,99.83%,95.00%,95.00%,0.60%,0.60%,0.60%,0.60%
2,1-<2 mo,"1,380",55,48,95.59%,90.73%,99.84%,99.67%,95.74%,91.01%,0.59%,0.79%,0.59%,0.79%
3,2-<3 mo,"1,277",18,71,98.33%,89.27%,99.85%,99.53%,98.47%,89.67%,0.40%,0.84%,0.40%,0.85%
4,3-<4 mo,"1,188",21,66,97.79%,87.40%,99.86%,99.38%,97.93%,87.91%,0.48%,0.91%,0.48%,0.92%
5,4-<5 mo,"1,101",11,62,98.95%,86.49%,99.86%,99.24%,99.09%,87.11%,0.32%,0.94%,0.32%,0.95%
6,5-<6 mo,"1,028",9,52,98.89%,85.60%,99.86%,99.10%,99.03%,86.32%,0.37%,0.97%,0.37%,0.98%
7,6-<7 mo,967,5,48,99.50%,85.16%,99.86%,98.97%,99.64%,85.99%,0.23%,0.99%,0.23%,1.00%
8,7-<8 mo,914,7,63,99.11%,84.44%,99.86%,98.83%,99.24%,85.37%,0.34%,1.01%,0.34%,1.03%
9,8-<9 mo,844,3,54,99.69%,84.16%,99.86%,98.70%,99.72%,85.11%,0.18%,1.02%,0.18%,1.04%
10,9-<10 mo,787,5,58,99.18%,83.52%,99.86%,98.57%,99.31%,84.65%,0.37%,1.05%,0.37%,1.07%
11,10-<11 mo,724,12,54,97.94%,81.92%,99.86%,98.43%,98.08%,83.13%,0.60%,1.12%,0.60%,1.15%
12,11-<12 mo,658,5,52,99.18%,81.26%,99.87%,98.30%,99.31%,82.56%,0.38%,1.15%,0.38%,1.18%
13,12-<13 mo,601,9,42,98.26%,79.92%,99.85%,98.16%,98.38%,81.28%,0.59%,1.21%,0.59%,1.24%
14,13-<14 mo,550,6,60,98.84%,79.00%,99.86%,98.02%,98.98%,80.46%,0.49%,1.25%,0.49%,1.29%
15,14-<15 mo,484,7,50,98.25%,77.71%,99.86%,97.88%,98.39%,79.24%,0.67%,1.32%,0.67%,1.36%
16,15-<16 mo,427,5,37,98.67%,76.69%,99.86%,97.74%,98.78%,78.29%,0.61%,1.38%,0.61%,1.42%
17,16-<17 mo,385,3,47,99.31%,76.10%,99.86%,97.61%,99.34%,77.74%,0.40%,1.41%,0.40%,1.46%
18,17-<18 mo,335,2,41,99.26%,75.56%,99.86%,97.48%,99.37%,77.33%,0.54%,1.45%,0.54%,1.50%
19,18-<19 mo,292,2,53,98.89%,74.84%,99.86%,97.34%,98.99%,76.66%,0.77%,1.51%,0.78%,1.57%
20,19-<20 mo,237,3,54,98.53%,73.76%,99.86%,97.21%,98.67%,75.69%,0.88%,1.62%,0.88%,1.68%
21,20-<21 mo,180,5,46,95.47%,70.85%,99.86%,97.07%,95.58%,72.72%,1.97%,1.97%,1.98%,2.05%
22,21-<22 mo,129,1,41,98.28%,69.89%,99.88%,96.96%,98.37%,71.76%,1.68%,2.14%,1.69%,2.23%
23,22-<23 mo,87,2,46,95.75%,67.24%,99.88%,96.85%,95.84%,69.06%,3.10%,2.74%,3.11%,2.86%
24,23-<24 mo,39,0,39,+,+,99.88%,96.73%,+,+,+,+,+,+
