Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,361,8,11,97.75%,97.75%,99.83%,99.83%,97.91%,97.91%,0.79%,0.79%,0.79%,0.79%
2,1-<2 mo,342,6,18,98.20%,95.99%,99.84%,99.67%,98.36%,96.31%,0.73%,1.05%,0.73%,1.05%
3,2-<3 mo,318,6,7,98.09%,94.16%,99.83%,99.50%,98.25%,94.63%,0.77%,1.27%,0.77%,1.28%
4,3-<4 mo,305,2,15,99.33%,93.52%,99.84%,99.35%,99.48%,94.14%,0.47%,1.34%,0.47%,1.35%
5,4-<5 mo,288,1,16,99.64%,93.19%,99.84%,99.19%,99.80%,93.95%,0.36%,1.37%,0.36%,1.38%
6,5-<6 mo,271,3,9,98.87%,92.14%,99.84%,99.03%,99.04%,93.04%,0.65%,1.49%,0.65%,1.50%
7,6-<7 mo,259,5,17,98.00%,90.30%,99.84%,98.87%,98.16%,91.33%,0.88%,1.67%,0.89%,1.69%
8,7-<8 mo,237,1,13,99.57%,89.91%,99.84%,98.72%,99.72%,91.08%,0.43%,1.71%,0.43%,1.73%
9,8-<9 mo,223,3,20,98.59%,88.64%,99.85%,98.57%,98.74%,89.93%,0.81%,1.83%,0.81%,1.86%
10,9-<10 mo,200,4,17,97.91%,86.79%,99.85%,98.42%,98.06%,88.18%,1.03%,2.01%,1.03%,2.05%
11,10-<11 mo,179,2,16,98.83%,85.78%,99.86%,98.28%,98.97%,87.27%,0.82%,2.11%,0.82%,2.15%
12,11-<12 mo,161,1,13,99.35%,85.22%,99.86%,98.15%,99.49%,86.83%,0.65%,2.17%,0.65%,2.21%
13,12-<13 mo,147,1,13,99.29%,84.62%,99.86%,98.01%,99.43%,86.33%,0.71%,2.24%,0.71%,2.29%
14,13-<14 mo,133,1,15,99.20%,83.94%,99.86%,97.87%,99.34%,85.77%,0.79%,2.32%,0.79%,2.37%
15,14-<15 mo,117,1,15,99.09%,83.17%,99.86%,97.73%,99.23%,85.10%,0.91%,2.42%,0.91%,2.48%
16,15-<16 mo,101,0,15,100.00%,83.17%,99.86%,97.60%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
17,16-<17 mo,86,0,7,100.00%,83.17%,99.85%,97.45%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
18,17-<18 mo,79,0,8,100.00%,83.17%,99.85%,97.30%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
19,18-<19 mo,71,0,9,100.00%,83.17%,99.85%,97.16%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
20,19-<20 mo,62,0,10,100.00%,83.17%,99.85%,97.01%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
21,20-<21 mo,52,0,13,100.00%,83.17%,99.84%,96.86%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
22,21-<22 mo,39,0,14,100.00%,83.17%,99.84%,96.70%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
23,22-<23 mo,25,0,15,100.00%,83.17%,99.80%,96.51%,100.0000%*,85.1022%#,0.00%,2.42%,0.00%,2.4800%#
24,23-<24 mo,10,0,10,+,+,99.66%,96.18%,+,+,+,+,+,+
