Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,80,10,2,87.34%,87.34%,99.79%,99.79%,87.53%,87.53%,3.74%,3.74%,3.75%,3.75%
2,1-<2 mo,68,4,3,93.99%,82.09%,99.83%,99.62%,94.14%,82.40%,2.92%,4.34%,2.92%,4.36%
3,2-<3 mo,61,5,3,91.60%,75.19%,99.85%,99.46%,91.74%,75.60%,3.60%,4.95%,3.60%,4.98%
4,3-<4 mo,53,3,0,94.34%,70.93%,99.87%,99.33%,94.46%,71.41%,3.17%,5.25%,3.18%,5.28%
5,4-<5 mo,50,3,0,94.00%,66.68%,99.87%,99.20%,94.12%,67.21%,3.36%,5.48%,3.36%,5.52%
6,5-<6 mo,47,4,3,91.21%,60.82%,99.87%,99.07%,91.33%,61.39%,4.20%,5.73%,4.20%,5.78%
7,6-<7 mo,40,1,1,97.47%,59.28%,99.86%,98.93%,97.61%,59.92%,2.50%,5.78%,2.50%,5.85%
8,7-<8 mo,38,0,2,100.00%,59.28%,99.86%,98.80%,100.0000%*,59.9164%#,0.00%,5.78%,0.00%,5.8471%#
9,8-<9 mo,36,1,3,97.10%,57.56%,99.86%,98.66%,97.24%,58.34%,2.86%,5.87%,2.86%,5.95%
10,9-<10 mo,32,1,1,96.83%,55.73%,99.86%,98.52%,96.96%,56.57%,3.12%,5.96%,3.13%,6.05%
11,10-<11 mo,30,2,1,93.22%,51.95%,99.87%,98.40%,93.34%,52.80%,4.63%,6.12%,4.63%,6.22%
12,11-<12 mo,27,0,0,100.00%,51.95%,99.87%,98.27%,100.0000%*,52.7999%#,0.00%,6.12%,0.00%,6.2239%#
13,12-<13 mo,27,1,1,96.23%,49.99%,99.86%,98.14%,96.36%,50.94%,3.70%,6.20%,3.71%,6.32%
14,13-<14 mo,25,1,1,95.92%,47.95%,99.87%,98.01%,96.04%,48.93%,4.00%,6.27%,4.00%,6.40%
15,14-<15 mo,23,0,3,100.00%,47.95%,99.87%,97.88%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
16,15-<16 mo,20,0,0,100.00%,47.95%,99.87%,97.76%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
17,16-<17 mo,20,0,1,100.00%,47.95%,99.87%,97.63%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
18,17-<18 mo,19,0,1,100.00%,47.95%,99.87%,97.50%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
19,18-<19 mo,18,0,3,100.00%,47.95%,99.87%,97.38%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
20,19-<20 mo,15,0,5,100.00%,47.95%,99.87%,97.25%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
21,20-<21 mo,10,0,2,100.00%,47.95%,99.86%,97.11%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
22,21-<22 mo,8,0,3,100.00%,47.95%,99.85%,96.96%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
23,22-<23 mo,5,0,3,100.00%,47.95%,99.82%,96.79%,100.0000%*,48.9259%#,0.00%,6.27%,0.00%,6.4001%#
24,23-<24 mo,2,0,2,+,+,99.76%,96.56%,+,+,+,+,+,+
