Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"6,556",278,298,94.51%,94.51%,99.82%,99.82%,94.67%,94.67%,0.32%,0.32%,0.32%,0.32%
2,1-<2 mo,"5,980",215,266,95.16%,90.07%,99.83%,99.66%,95.32%,90.36%,0.33%,0.42%,0.33%,0.42%
3,2-<3 mo,"5,499",105,295,97.52%,87.93%,99.84%,99.50%,97.68%,88.34%,0.25%,0.46%,0.25%,0.46%
4,3-<4 mo,"5,099",80,261,97.97%,86.22%,99.84%,99.35%,98.12%,86.74%,0.24%,0.49%,0.24%,0.49%
5,4-<5 mo,"4,758",62,273,98.25%,84.80%,99.85%,99.19%,98.40%,85.43%,0.23%,0.51%,0.23%,0.52%
6,5-<6 mo,"4,423",50,242,98.44%,83.57%,99.85%,99.04%,98.59%,84.31%,0.23%,0.53%,0.23%,0.54%
7,6-<7 mo,"4,131",47,245,98.66%,82.48%,99.85%,98.90%,98.81%,83.32%,0.21%,0.55%,0.21%,0.56%
8,7-<8 mo,"3,839",36,243,98.83%,81.56%,99.85%,98.75%,98.98%,82.49%,0.21%,0.56%,0.21%,0.57%
9,8-<9 mo,"3,560",35,258,98.89%,80.67%,99.85%,98.61%,99.03%,81.71%,0.20%,0.58%,0.20%,0.59%
10,9-<10 mo,"3,267",32,226,98.79%,79.74%,99.86%,98.47%,98.93%,80.86%,0.23%,0.59%,0.23%,0.61%
11,10-<11 mo,"3,009",25,231,98.87%,78.91%,99.86%,98.33%,99.02%,80.12%,0.24%,0.61%,0.24%,0.62%
12,11-<12 mo,"2,753",30,208,98.74%,77.94%,99.86%,98.18%,98.88%,79.24%,0.25%,0.63%,0.25%,0.64%
13,12-<13 mo,"2,515",24,204,98.84%,77.08%,99.84%,98.03%,98.99%,78.47%,0.26%,0.64%,0.26%,0.66%
14,13-<14 mo,"2,287",30,197,98.31%,75.86%,99.84%,97.87%,98.46%,77.33%,0.33%,0.67%,0.33%,0.69%
15,14-<15 mo,"2,060",20,202,99.04%,75.12%,99.84%,97.72%,99.20%,76.68%,0.24%,0.69%,0.24%,0.71%
16,15-<16 mo,"1,838",17,208,98.85%,74.30%,99.84%,97.57%,99.00%,75.95%,0.30%,0.71%,0.30%,0.73%
17,16-<17 mo,"1,613",24,199,98.26%,73.05%,99.84%,97.41%,98.42%,74.77%,0.39%,0.74%,0.39%,0.77%
18,17-<18 mo,"1,390",16,205,98.73%,72.12%,99.84%,97.26%,98.88%,73.93%,0.35%,0.77%,0.35%,0.80%
19,18-<19 mo,"1,169",4,204,99.62%,71.85%,99.84%,97.11%,99.78%,73.76%,0.21%,0.78%,0.21%,0.81%
20,19-<20 mo,961,13,202,98.22%,70.65%,99.84%,96.96%,98.38%,72.61%,0.54%,0.84%,0.54%,0.88%
21,20-<21 mo,746,13,181,96.88%,68.74%,99.84%,96.81%,97.04%,70.70%,0.88%,0.96%,0.88%,1.01%
22,21-<22 mo,552,5,177,98.41%,67.79%,99.85%,96.67%,98.56%,69.80%,0.75%,1.04%,0.76%,1.09%
23,22-<23 mo,370,4,207,97.53%,66.41%,99.85%,96.52%,97.65%,68.42%,1.28%,1.22%,1.29%,1.29%
24,23-<24 mo,159,1,158,+,+,99.88%,96.40%,+,+,+,+,+,+
