Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"13,979","1,852",579,86.47%,86.47%,99.76%,99.76%,86.68%,86.68%,0.29%,0.29%,0.29%,0.29%
2,1-<2 mo,"11,548","1,325",455,88.30%,76.35%,99.78%,99.54%,88.49%,76.70%,0.30%,0.37%,0.30%,0.37%
3,2-<3 mo,"9,768",832,450,91.28%,69.69%,99.80%,99.34%,91.46%,70.16%,0.29%,0.40%,0.29%,0.40%
4,3-<4 mo,"8,486",574,382,93.08%,64.87%,99.81%,99.15%,93.26%,65.43%,0.28%,0.42%,0.28%,0.42%
5,4-<5 mo,"7,530",455,394,93.80%,60.85%,99.81%,98.96%,93.97%,61.48%,0.28%,0.44%,0.28%,0.44%
6,5-<6 mo,"6,681",378,381,94.18%,57.30%,99.82%,98.78%,94.35%,58.01%,0.29%,0.45%,0.29%,0.45%
7,6-<7 mo,"5,922",323,333,94.39%,54.09%,99.82%,98.61%,94.56%,54.85%,0.30%,0.46%,0.30%,0.46%
8,7-<8 mo,"5,266",265,315,94.81%,51.28%,99.83%,98.44%,94.98%,52.09%,0.31%,0.46%,0.31%,0.47%
9,8-<9 mo,"4,686",241,339,94.66%,48.54%,99.83%,98.27%,94.82%,49.40%,0.33%,0.47%,0.34%,0.48%
10,9-<10 mo,"4,106",201,271,94.94%,46.09%,99.84%,98.11%,95.09%,46.97%,0.35%,0.48%,0.35%,0.49%
11,10-<11 mo,"3,634",163,266,95.34%,43.94%,99.84%,97.95%,95.50%,44.86%,0.36%,0.48%,0.36%,0.49%
12,11-<12 mo,"3,205",161,252,94.77%,41.64%,99.84%,97.79%,94.92%,42.58%,0.40%,0.49%,0.40%,0.50%
13,12-<13 mo,"2,792",142,213,94.71%,39.44%,99.82%,97.62%,94.88%,40.40%,0.43%,0.50%,0.43%,0.51%
14,13-<14 mo,"2,437",116,242,94.99%,37.47%,99.83%,97.45%,95.16%,38.45%,0.45%,0.51%,0.45%,0.52%
15,14-<15 mo,"2,079",99,221,94.97%,35.58%,99.83%,97.28%,95.14%,36.58%,0.49%,0.52%,0.49%,0.53%
16,15-<16 mo,"1,759",75,181,95.50%,33.98%,99.82%,97.11%,95.67%,34.99%,0.51%,0.52%,0.51%,0.54%
17,16-<17 mo,"1,503",61,209,95.64%,32.50%,99.83%,96.94%,95.80%,33.53%,0.55%,0.53%,0.55%,0.55%
18,17-<18 mo,"1,233",50,163,95.66%,31.09%,99.83%,96.78%,95.82%,32.12%,0.60%,0.55%,0.60%,0.57%
19,18-<19 mo,"1,020",44,160,95.32%,29.63%,99.83%,96.61%,95.48%,30.67%,0.69%,0.56%,0.69%,0.58%
20,19-<20 mo,816,30,156,95.94%,28.43%,99.83%,96.44%,96.10%,29.48%,0.73%,0.58%,0.73%,0.60%
21,20-<21 mo,630,28,166,94.88%,26.97%,99.83%,96.27%,95.05%,28.02%,0.94%,0.61%,0.94%,0.64%
22,21-<22 mo,436,23,161,93.53%,25.23%,99.82%,96.10%,93.70%,26.25%,1.30%,0.67%,1.31%,0.70%
23,22-<23 mo,252,11,142,93.92%,23.70%,99.83%,95.94%,94.08%,24.70%,1.78%,0.78%,1.78%,0.81%
24,23-<24 mo,99,3,96,+,+,99.81%,95.75%,+,+,+,+,+,+
