Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,24,9,1,61.70%,61.70%,99.67%,99.67%,61.91%,61.91%,10.03%,10.03%,10.06%,10.06%
2,1-<2 mo,14,1,1,92.59%,57.13%,99.75%,99.42%,92.82%,57.46%,7.13%,10.27%,7.15%,10.33%
3,2-<3 mo,12,1,1,91.30%,52.16%,99.84%,99.26%,91.45%,52.55%,8.31%,10.51%,8.32%,10.59%
4,3-<4 mo,10,1,0,90.00%,46.95%,99.87%,99.13%,90.12%,47.36%,9.49%,10.68%,9.50%,10.77%
5,4-<5 mo,9,0,1,100.00%,46.95%,99.86%,98.99%,100.0000%*,47.3601%#,0.00%,10.68%,0.00%,10.7718%#
6,5-<6 mo,8,1,1,86.67%,40.69%,99.84%,98.84%,86.80%,41.17%,12.41%,10.94%,12.43%,11.07%
7,6-<7 mo,6,0,0,100.00%,40.69%,99.86%,98.70%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
8,7-<8 mo,6,0,0,100.00%,40.69%,99.86%,98.57%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
9,8-<9 mo,6,0,2,100.00%,40.69%,99.86%,98.43%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
10,9-<10 mo,4,0,1,100.00%,40.69%,99.81%,98.24%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
11,10-<11 mo,3,0,0,100.00%,40.69%,99.78%,98.03%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
12,11-<12 mo,3,0,0,100.00%,40.69%,99.78%,97.81%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
13,12-<13 mo,3,0,1,100.00%,40.69%,99.76%,97.58%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
14,13-<14 mo,2,0,0,100.00%,40.69%,99.65%,97.23%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
15,14-<15 mo,2,0,0,100.00%,40.69%,99.65%,96.89%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
16,15-<16 mo,2,0,0,100.00%,40.69%,99.65%,96.55%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
17,16-<17 mo,2,0,0,100.00%,40.69%,99.65%,96.20%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
18,17-<18 mo,2,0,0,100.00%,40.69%,99.65%,95.86%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
19,18-<19 mo,2,0,0,100.00%,40.69%,99.65%,95.52%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
20,19-<20 mo,2,0,0,100.00%,40.69%,99.65%,95.18%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
21,20-<21 mo,2,0,0,100.00%,40.69%,99.65%,94.85%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
22,21-<22 mo,2,0,1,100.00%,40.69%,99.65%,94.51%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
23,22-<23 mo,1,0,0,100.00%,40.69%,99.74%,94.26%,100.0000%*,41.1673%#,0.00%,10.94%,0.00%,11.0650%#
24,23-<24 mo,1,0,1,+,+,99.74%,94.02%,+,+,+,+,+,+
