Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"57,981",210,"2,263",99.63%,99.63%,99.80%,99.80%,99.83%,99.83%,0.03%,0.03%,0.03%,0.03%
2,1-<2 mo,"55,508",159,"2,261",99.71%,99.34%,99.80%,99.61%,99.90%,99.73%,0.02%,0.03%,0.02%,0.03%
3,2-<3 mo,"53,088",124,"2,783",99.76%,99.10%,99.80%,99.41%,99.96%,99.69%,0.02%,0.04%,0.02%,0.04%
4,3-<4 mo,"50,181",127,"2,446",99.74%,98.84%,99.81%,99.22%,99.94%,99.62%,0.02%,0.05%,0.02%,0.05%
5,4-<5 mo,"47,608",107,"2,533",99.77%,98.62%,99.81%,99.03%,99.96%,99.59%,0.02%,0.05%,0.02%,0.05%
6,5-<6 mo,"44,968",89,"2,402",99.80%,98.42%,99.81%,98.84%,99.99%,99.58%,0.02%,0.06%,0.02%,0.06%
7,6-<7 mo,"42,477",105,"2,554",99.75%,98.16%,99.81%,98.65%,99.94%,99.51%,0.02%,0.06%,0.02%,0.06%
8,7-<8 mo,"39,818",78,"2,487",99.80%,97.97%,99.81%,98.46%,99.99%,99.50%,0.02%,0.06%,0.02%,0.07%
9,8-<9 mo,"37,253",77,"2,661",99.79%,97.76%,99.81%,98.27%,99.98%,99.48%,0.02%,0.07%,0.02%,0.07%
10,9-<10 mo,"34,515",79,"2,505",99.76%,97.52%,99.81%,98.08%,99.95%,99.43%,0.03%,0.07%,0.03%,0.07%
11,10-<11 mo,"31,931",71,"2,565",99.77%,97.30%,99.81%,97.89%,99.96%,99.39%,0.03%,0.08%,0.03%,0.08%
12,11-<12 mo,"29,295",76,"2,445",99.73%,97.03%,99.81%,97.71%,99.92%,99.31%,0.03%,0.08%,0.03%,0.09%
13,12-<13 mo,"26,774",73,"2,067",99.72%,96.76%,99.79%,97.50%,99.92%,99.24%,0.03%,0.09%,0.03%,0.09%
14,13-<14 mo,"24,634",73,"2,355",99.69%,96.46%,99.79%,97.30%,99.89%,99.13%,0.04%,0.10%,0.04%,0.10%
15,14-<15 mo,"22,206",57,"2,415",99.73%,96.20%,99.79%,97.10%,99.93%,99.06%,0.04%,0.10%,0.04%,0.10%
16,15-<16 mo,"19,734",37,"2,008",99.80%,96.01%,99.80%,96.91%,100.0000%*,99.0643%#,0.03%,0.11%,0.03%,0.1042%#
17,16-<17 mo,"17,689",41,"2,378",99.75%,95.77%,99.80%,96.71%,99.96%,99.03%,0.04%,0.11%,0.04%,0.12%
18,17-<18 mo,"15,270",44,"2,077",99.69%,95.47%,99.80%,96.51%,99.89%,98.92%,0.05%,0.12%,0.05%,0.12%
19,18-<19 mo,"13,149",34,"2,205",99.72%,95.20%,99.80%,96.31%,99.92%,98.84%,0.05%,0.13%,0.05%,0.13%
20,19-<20 mo,"10,910",28,"2,084",99.72%,94.93%,99.80%,96.12%,99.92%,98.77%,0.05%,0.14%,0.05%,0.14%
21,20-<21 mo,"8,798",22,"2,267",99.71%,94.66%,99.80%,95.92%,99.92%,98.68%,0.06%,0.15%,0.06%,0.16%
22,21-<22 mo,"6,509",17,"2,173",99.69%,94.36%,99.80%,95.73%,99.89%,98.57%,0.08%,0.17%,0.08%,0.17%
23,22-<23 mo,"4,319",5,"2,304",99.84%,94.21%,99.79%,95.53%,100.0000%*,98.5739%#,0.07%,0.18%,0.07%,0.1724%#
24,23-<24 mo,"2,010",4,"2,006",+,+,99.79%,95.33%,+,+,+,+,+,+
