Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"53,954","4,729","2,056",91.40%,91.40%,99.78%,99.78%,91.60%,91.60%,0.12%,0.12%,0.12%,0.12%
2,1-<2 mo,"47,169","3,593","1,828",92.41%,84.51%,99.79%,99.57%,92.60%,84.87%,0.12%,0.16%,0.12%,0.16%
3,2-<3 mo,"41,748","2,320","2,107",94.41%,79.82%,99.79%,99.36%,94.60%,80.32%,0.11%,0.18%,0.12%,0.18%
4,3-<4 mo,"37,321","1,690","1,696",95.42%,76.20%,99.79%,99.15%,95.62%,76.82%,0.11%,0.19%,0.11%,0.19%
5,4-<5 mo,"33,935","1,326","1,807",96.01%,73.19%,99.80%,98.95%,96.21%,73.93%,0.11%,0.20%,0.11%,0.20%
6,5-<6 mo,"30,802","1,070","1,674",96.46%,70.62%,99.80%,98.76%,96.65%,71.47%,0.11%,0.21%,0.11%,0.21%
7,6-<7 mo,"28,058",931,"1,598",96.58%,68.23%,99.80%,98.56%,96.78%,69.18%,0.11%,0.22%,0.11%,0.22%
8,7-<8 mo,"25,529",807,"1,599",96.77%,66.06%,99.80%,98.37%,96.97%,67.10%,0.11%,0.22%,0.11%,0.23%
9,8-<9 mo,"23,123",717,"1,625",96.80%,63.95%,99.80%,98.17%,97.00%,65.08%,0.12%,0.23%,0.12%,0.24%
10,9-<10 mo,"20,781",619,"1,463",96.93%,62.00%,99.80%,97.98%,97.12%,63.22%,0.12%,0.24%,0.12%,0.24%
11,10-<11 mo,"18,699",498,"1,436",97.23%,60.30%,99.80%,97.79%,97.43%,61.59%,0.12%,0.24%,0.12%,0.25%
12,11-<12 mo,"16,765",469,"1,355",97.10%,58.56%,99.80%,97.60%,97.29%,59.93%,0.13%,0.25%,0.13%,0.26%
13,12-<13 mo,"14,941",370,"1,089",97.40%,57.05%,99.79%,97.39%,97.61%,58.50%,0.14%,0.26%,0.14%,0.26%
14,13-<14 mo,"13,482",343,"1,253",97.36%,55.57%,99.79%,97.19%,97.57%,57.09%,0.14%,0.26%,0.14%,0.27%
15,14-<15 mo,"11,886",238,"1,222",97.85%,54.39%,99.79%,96.98%,98.06%,55.98%,0.14%,0.27%,0.14%,0.28%
16,15-<16 mo,"10,426",220,"1,064",97.77%,53.18%,99.79%,96.78%,97.98%,54.85%,0.15%,0.27%,0.15%,0.28%
17,16-<17 mo,"9,142",200,"1,232",97.64%,51.94%,99.79%,96.58%,97.85%,53.68%,0.17%,0.28%,0.17%,0.29%
18,17-<18 mo,"7,710",156,"1,072",97.78%,50.80%,99.79%,96.37%,97.99%,52.60%,0.18%,0.29%,0.18%,0.30%
19,18-<19 mo,"6,482",126,"1,095",97.87%,49.75%,99.79%,96.17%,98.08%,51.61%,0.19%,0.30%,0.19%,0.31%
20,19-<20 mo,"5,261",101,"1,010",97.92%,48.72%,99.79%,95.97%,98.13%,50.64%,0.21%,0.31%,0.21%,0.32%
21,20-<21 mo,"4,150",89,"1,102",97.52%,47.55%,99.79%,95.77%,97.73%,49.52%,0.26%,0.33%,0.26%,0.34%
22,21-<22 mo,"2,959",45,988,98.23%,46.71%,99.79%,95.57%,98.43%,48.74%,0.27%,0.35%,0.27%,0.36%
23,22-<23 mo,"1,926",22,"1,036",98.37%,45.92%,99.79%,95.37%,98.58%,48.02%,0.35%,0.38%,0.35%,0.40%
24,23-<24 mo,868,4,864,+,+,99.80%,95.18%,+,+,+,+,+,+
