Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,486,19,15,95.02%,95.02%,99.80%,99.80%,95.20%,95.20%,1.13%,1.13%,1.14%,1.14%
2,1-<2 mo,452,11,15,97.43%,92.57%,99.82%,99.62%,97.61%,92.92%,0.81%,1.34%,0.81%,1.35%
3,2-<3 mo,426,11,22,96.50%,89.39%,99.81%,99.43%,96.68%,89.89%,1.06%,1.60%,1.06%,1.61%
4,3-<4 mo,393,8,21,97.67%,87.34%,99.82%,99.25%,97.85%,87.97%,0.88%,1.73%,0.88%,1.75%
5,4-<5 mo,364,5,24,98.15%,85.78%,99.82%,99.07%,98.33%,86.55%,0.85%,1.83%,0.85%,1.86%
6,5-<6 mo,335,6,24,97.51%,83.75%,99.82%,98.89%,97.69%,84.63%,1.03%,1.96%,1.03%,1.99%
7,6-<7 mo,305,5,18,97.79%,81.99%,99.82%,98.71%,97.96%,82.99%,1.02%,2.06%,1.02%,2.10%
8,7-<8 mo,282,1,9,99.80%,81.80%,99.82%,98.54%,99.81%,82.81%,0.20%,2.07%,0.20%,2.11%
9,8-<9 mo,272,3,28,98.92%,80.93%,99.82%,98.36%,99.07%,82.15%,0.72%,2.12%,0.72%,2.17%
10,9-<10 mo,241,5,14,97.52%,78.99%,99.81%,98.17%,97.71%,80.36%,1.20%,2.25%,1.20%,2.31%
11,10-<11 mo,222,3,22,98.31%,77.68%,99.82%,97.99%,98.50%,79.16%,1.04%,2.35%,1.04%,2.41%
12,11-<12 mo,197,1,14,99.72%,77.43%,99.82%,97.82%,99.73%,78.92%,0.28%,2.36%,0.28%,2.42%
13,12-<13 mo,182,6,13,95.93%,74.33%,99.80%,97.62%,96.12%,76.01%,1.75%,2.60%,1.75%,2.69%
14,13-<14 mo,163,1,12,99.66%,74.04%,99.79%,97.42%,99.67%,75.73%,0.34%,2.62%,0.34%,2.70%
15,14-<15 mo,150,1,12,99.63%,73.72%,99.79%,97.22%,99.64%,75.42%,0.37%,2.63%,0.37%,2.72%
16,15-<16 mo,137,2,11,98.58%,72.60%,99.80%,97.03%,98.62%,74.37%,1.08%,2.73%,1.08%,2.82%
17,16-<17 mo,124,0,19,100.00%,72.60%,99.82%,96.85%,100.00%,74.37%,0.00%,2.73%,0.00%,2.82%
18,17-<18 mo,105,2,14,97.10%,70.47%,99.81%,96.68%,97.13%,72.24%,1.94%,3.00%,1.95%,3.09%
19,18-<19 mo,89,2,11,98.77%,69.45%,99.82%,96.51%,98.78%,71.24%,0.85%,3.07%,0.85%,3.16%
20,19-<20 mo,76,1,16,97.63%,67.90%,99.82%,96.33%,97.76%,70.31%,2.30%,3.36%,2.31%,3.51%
21,20-<21 mo,59,0,17,100.00%,67.90%,99.81%,96.16%,100.00%,70.31%,0.00%,3.36%,0.00%,3.51%
22,21-<22 mo,42,0,10,100.00%,67.90%,99.79%,95.96%,100.00%,70.31%,0.00%,3.36%,0.00%,3.51%
23,22-<23 mo,32,0,19,100.00%,67.90%,99.77%,95.75%,100.00%,70.31%,0.00%,3.36%,0.00%,3.51%
24,23-<24 mo,13,0,13,+,+,99.85%,95.61%,+,+,+,+,+,+
