Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"7,805",232,352,96.96%,96.96%,99.83%,99.83%,97.12%,97.12%,0.20%,0.20%,0.20%,0.20%
2,1-<2 mo,"7,221",156,337,97.79%,94.81%,99.84%,99.67%,97.94%,95.13%,0.18%,0.26%,0.18%,0.26%
3,2-<3 mo,"6,728",104,338,98.41%,93.31%,99.84%,99.52%,98.57%,93.76%,0.15%,0.29%,0.15%,0.29%
4,3-<4 mo,"6,286",73,321,98.81%,92.20%,99.85%,99.36%,98.96%,92.79%,0.14%,0.32%,0.14%,0.32%
5,4-<5 mo,"5,892",60,308,98.95%,91.23%,99.85%,99.21%,99.11%,91.96%,0.13%,0.34%,0.13%,0.34%
6,5-<6 mo,"5,524",50,287,99.07%,90.39%,99.85%,99.06%,99.22%,91.24%,0.13%,0.35%,0.13%,0.36%
7,6-<7 mo,"5,187",44,335,99.12%,89.59%,99.85%,98.92%,99.27%,90.58%,0.13%,0.37%,0.13%,0.37%
8,7-<8 mo,"4,808",39,306,99.16%,88.84%,99.85%,98.77%,99.31%,89.95%,0.13%,0.39%,0.13%,0.39%
9,8-<9 mo,"4,463",37,295,99.14%,88.08%,99.85%,98.63%,99.29%,89.31%,0.14%,0.40%,0.14%,0.41%
10,9-<10 mo,"4,131",37,281,99.07%,87.27%,99.86%,98.48%,99.22%,88.61%,0.15%,0.42%,0.15%,0.43%
11,10-<11 mo,"3,813",23,289,99.37%,86.72%,99.86%,98.34%,99.52%,88.18%,0.13%,0.43%,0.13%,0.44%
12,11-<12 mo,"3,501",26,282,99.23%,86.05%,99.86%,98.20%,99.37%,87.62%,0.15%,0.45%,0.15%,0.46%
13,12-<13 mo,"3,193",20,242,99.35%,85.49%,99.84%,98.05%,99.51%,87.19%,0.15%,0.46%,0.15%,0.47%
14,13-<14 mo,"2,931",28,315,98.99%,84.62%,99.84%,97.90%,99.15%,86.44%,0.19%,0.49%,0.19%,0.50%
15,14-<15 mo,"2,588",20,273,99.18%,83.93%,99.85%,97.75%,99.34%,85.87%,0.18%,0.51%,0.18%,0.52%
16,15-<16 mo,"2,295",18,251,99.17%,83.24%,99.85%,97.60%,99.32%,85.29%,0.19%,0.53%,0.20%,0.54%
17,16-<17 mo,"2,026",25,296,98.67%,82.13%,99.85%,97.45%,98.82%,84.28%,0.26%,0.57%,0.26%,0.58%
18,17-<18 mo,"1,705",15,230,99.06%,81.35%,99.85%,97.31%,99.20%,83.61%,0.24%,0.60%,0.24%,0.61%
19,18-<19 mo,"1,460",13,252,99.03%,80.56%,99.85%,97.16%,99.17%,82.91%,0.27%,0.63%,0.27%,0.65%
20,19-<20 mo,"1,195",9,250,99.16%,79.88%,99.85%,97.02%,99.31%,82.34%,0.28%,0.66%,0.28%,0.68%
21,20-<21 mo,936,3,230,99.63%,79.59%,99.85%,96.87%,99.78%,82.16%,0.21%,0.68%,0.21%,0.70%
22,21-<22 mo,703,4,231,99.32%,79.05%,99.86%,96.73%,99.46%,81.72%,0.34%,0.73%,0.34%,0.75%
23,22-<23 mo,468,3,257,99.12%,78.35%,99.85%,96.59%,99.27%,81.12%,0.51%,0.83%,0.51%,0.86%
24,23-<24 mo,208,0,208,+,+,99.84%,96.43%,+,+,+,+,+,+
