Index,Time Interval,Start,Died,Lost to Follow-up,Observed Interval,Observed Cum,Expected Interval,Expected Cum,Relative Interval,Relative Cum,SE Obs Interval,SE Obs Cum,SE Relative Interval,SE Relative Cum
1,< 1 mo,"3,390",75,146,97.74%,97.74%,99.83%,99.83%,97.90%,97.90%,0.26%,0.26%,0.26%,0.26%
2,1-<2 mo,"3,169",63,140,97.97%,95.75%,99.84%,99.67%,98.13%,96.07%,0.25%,0.35%,0.25%,0.36%
3,2-<3 mo,"2,966",50,125,98.28%,94.10%,99.84%,99.51%,98.44%,94.57%,0.24%,0.42%,0.24%,0.42%
4,3-<4 mo,"2,791",49,139,98.20%,92.41%,99.84%,99.35%,98.36%,93.02%,0.25%,0.48%,0.26%,0.48%
5,4-<5 mo,"2,603",36,147,98.58%,91.09%,99.84%,99.19%,98.73%,91.84%,0.24%,0.52%,0.24%,0.52%
6,5-<6 mo,"2,420",31,139,98.68%,89.89%,99.84%,99.04%,98.84%,90.77%,0.24%,0.55%,0.24%,0.56%
7,6-<7 mo,"2,250",35,150,98.39%,88.45%,99.85%,98.89%,98.54%,89.44%,0.27%,0.60%,0.27%,0.60%
8,7-<8 mo,"2,065",23,133,98.85%,87.43%,99.85%,98.74%,99.00%,88.54%,0.24%,0.63%,0.24%,0.63%
9,8-<9 mo,"1,909",29,126,98.43%,86.05%,99.85%,98.59%,98.57%,87.28%,0.29%,0.67%,0.29%,0.68%
10,9-<10 mo,"1,754",17,122,99.00%,85.19%,99.85%,98.45%,99.14%,86.53%,0.24%,0.69%,0.24%,0.70%
11,10-<11 mo,"1,615",25,122,98.39%,83.82%,99.86%,98.31%,98.53%,85.26%,0.32%,0.73%,0.32%,0.75%
12,11-<12 mo,"1,468",19,117,98.65%,82.69%,99.85%,98.17%,98.80%,84.24%,0.31%,0.77%,0.31%,0.78%
13,12-<13 mo,"1,332",15,97,98.83%,81.72%,99.84%,98.01%,98.99%,83.38%,0.30%,0.80%,0.30%,0.81%
14,13-<14 mo,"1,220",20,125,98.27%,80.31%,99.84%,97.85%,98.43%,82.07%,0.38%,0.84%,0.38%,0.86%
15,14-<15 mo,"1,075",14,135,98.61%,79.20%,99.84%,97.70%,98.76%,81.06%,0.37%,0.88%,0.37%,0.90%
16,15-<16 mo,926,10,107,98.85%,78.29%,99.85%,97.56%,99.00%,80.25%,0.36%,0.92%,0.36%,0.94%
17,16-<17 mo,809,4,126,99.46%,77.87%,99.85%,97.41%,99.61%,79.94%,0.27%,0.94%,0.27%,0.96%
18,17-<18 mo,679,9,105,98.56%,76.75%,99.85%,97.26%,98.71%,78.91%,0.48%,1.00%,0.48%,1.02%
19,18-<19 mo,565,2,104,99.61%,76.45%,99.85%,97.12%,99.76%,78.72%,0.28%,1.01%,0.28%,1.04%
20,19-<20 mo,459,2,93,99.52%,76.08%,99.85%,96.98%,99.66%,78.45%,0.34%,1.04%,0.34%,1.07%
21,20-<21 mo,364,2,85,99.38%,75.61%,99.86%,96.84%,99.51%,78.07%,0.44%,1.09%,0.44%,1.12%
22,21-<22 mo,277,3,92,98.70%,74.62%,99.87%,96.72%,98.83%,77.16%,0.74%,1.21%,0.75%,1.25%
23,22-<23 mo,182,2,105,98.46%,73.47%,99.86%,96.58%,98.59%,76.07%,1.08%,1.44%,1.09%,1.49%
24,23-<24 mo,75,0,75,+,+,99.88%,96.46%,+,+,+,+,+,+
